forecast_id,date,issue_time,target_time,lead_minutes,lead_hours,lead_bin,release_hour,forecast_pv_kw,actual_pv_kw,alignment_status,daylight_flag,yesterday_pv_kw,last_week_pv_kw,same_slot_7d_mean_kw
1,2025-01-01,2025-01-01 00:00:00,2025-01-01 01:00:00,60,1,1-3h,0,0.0000000000,0.0000000000,matched,False,,,
2,2025-01-01,2025-01-01 00:00:00,2025-01-01 02:00:00,120,2,1-3h,0,0.0000000000,0.0000000000,matched,False,,,
3,2025-01-01,2025-01-01 00:00:00,2025-01-01 03:00:00,180,3,1-3h,0,0.0000000000,0.0000000000,matched,False,,,
4,2025-01-01,2025-01-01 00:00:00,2025-01-01 04:00:00,240,4,4-6h,0,0.0000000000,0.0000000000,matched,False,,,
5,2025-01-01,2025-01-01 00:00:00,2025-01-01 05:00:00,300,5,4-6h,0,0.0000000000,0.0000000000,matched,False,,,
6,2025-01-01,2025-01-01 00:00:00,2025-01-01 06:00:00,360,6,4-6h,0,0.0000000000,0.0000000000,matched,False,,,
7,2025-01-01,2025-01-01 00:00:00,2025-01-01 07:00:00,420,7,7-12h,0,3.1173000000,3.0750000000,matched,True,,,
8,2025-01-01,2025-01-01 00:00:00,2025-01-01 08:00:00,480,8,7-12h,0,1603.3305000000,1592.2875000000,matched,True,,,
9,2025-01-01,2025-01-01 00:00:00,2025-01-01 09:00:00,540,9,7-12h,0,3409.0929000000,3350.9625000000,matched,True,,,
10,2025-01-01,2025-01-01 00:00:00,2025-01-01 10:00:00,600,10,7-12h,0,4871.2875000000,4836.6375000000,matched,True,,,
11,2025-01-01,2025-01-01 00:00:00,2025-01-01 11:00:00,660,11,7-12h,0,5785.1110000000,5372.1000000000,matched,True,,,
12,2025-01-01,2025-01-01 00:00:00,2025-01-01 12:00:00,720,12,7-12h,0,5737.1717000000,5331.7125000000,matched,True,,,
13,2025-01-01,2025-01-01 00:00:00,2025-01-01 13:00:00,780,13,13-18h,0,6047.3964000000,5261.8125000000,matched,True,,,
14,2025-01-01,2025-01-01 00:00:00,2025-01-01 14:00:00,840,14,13-18h,0,4687.1165000000,4478.6250000000,matched,True,,,
15,2025-01-01,2025-01-01 00:00:00,2025-01-01 15:00:00,900,15,13-18h,0,3572.6529000000,3327.3375000000,matched,True,,,
16,2025-01-01,2025-01-01 00:00:00,2025-01-01 16:00:00,960,16,13-18h,0,1629.9964000000,1525.8000000000,matched,True,,,
17,2025-01-01,2025-01-01 00:00:00,2025-01-01 17:00:00,1020,17,13-18h,0,3.1956000000,2.9625000000,matched,True,,,
18,2025-01-01,2025-01-01 00:00:00,2025-01-01 18:00:00,1080,18,13-18h,0,0.0000000000,0.0000000000,matched,False,,,
19,2025-01-01,2025-01-01 00:00:00,2025-01-01 19:00:00,1140,19,19-24h,0,0.0000000000,0.0000000000,matched,False,,,
20,2025-01-01,2025-01-01 00:00:00,2025-01-01 20:00:00,1200,20,19-24h,0,0.0000000000,0.0000000000,matched,False,,,
21,2025-01-01,2025-01-01 00:00:00,2025-01-01 21:00:00,1260,21,19-24h,0,0.0000000000,0.0000000000,matched,False,,,
22,2025-01-01,2025-01-01 00:00:00,2025-01-01 22:00:00,1320,22,19-24h,0,0.0000000000,0.0000000000,matched,False,,,
23,2025-01-01,2025-01-01 00:00:00,2025-01-01 23:00:00,1380,23,19-24h,0,0.0000000000,0.0000000000,matched,False,,,
24,2025-01-01,2025-01-01 00:00:00,2025-01-02 00:00:00,1440,24,19-24h,0,0.0000000000,0.0000000000,matched,False,,,
25,2025-01-01,2025-01-01 06:00:00,2025-01-01 07:00:00,60,1,1-3h,6,3.0919000000,3.0750000000,matched,True,,,
26,2025-01-01,2025-01-01 06:00:00,2025-01-01 08:00:00,120,2,1-3h,6,1588.7839000000,1592.2875000000,matched,True,,,
27,2025-01-01,2025-01-01 06:00:00,2025-01-01 09:00:00,180,3,1-3h,6,3297.9893000000,3350.9625000000,matched,True,,,
28,2025-01-01,2025-01-01 06:00:00,2025-01-01 10:00:00,240,4,4-6h,6,4692.2274000000,4836.6375000000,matched,True,,,
29,2025-01-01,2025-01-01 06:00:00,2025-01-01 11:00:00,300,5,4-6h,6,5220.3894000000,5372.1000000000,matched,True,,,
30,2025-01-01,2025-01-01 06:00:00,2025-01-01 12:00:00,360,6,4-6h,6,5078.6992000000,5331.7125000000,matched,True,,,
31,2025-01-01,2025-01-01 06:00:00,2025-01-01 13:00:00,420,7,7-12h,6,5314.2003000000,5261.8125000000,matched,True,,,
32,2025-01-01,2025-01-01 06:00:00,2025-01-01 14:00:00,480,8,7-12h,6,4833.7142000000,4478.6250000000,matched,True,,,
33,2025-01-01,2025-01-01 06:00:00,2025-01-01 15:00:00,540,9,7-12h,6,3588.0375000000,3327.3375000000,matched,True,,,
34,2025-01-01,2025-01-01 06:00:00,2025-01-01 16:00:00,600,10,7-12h,6,1660.0369000000,1525.8000000000,matched,True,,,
35,2025-01-01,2025-01-01 06:00:00,2025-01-01 17:00:00,660,11,7-12h,6,3.0359000000,2.9625000000,matched,True,,,
36,2025-01-01,2025-01-01 06:00:00,2025-01-01 18:00:00,720,12,7-12h,6,0.0000000000,0.0000000000,matched,False,,,
37,2025-01-01,2025-01-01 06:00:00,2025-01-01 19:00:00,780,13,13-18h,6,0.0000000000,0.0000000000,matched,False,,,
38,2025-01-01,2025-01-01 06:00:00,2025-01-01 20:00:00,840,14,13-18h,6,0.0000000000,0.0000000000,matched,False,,,
39,2025-01-01,2025-01-01 06:00:00,2025-01-01 21:00:00,900,15,13-18h,6,0.0000000000,0.0000000000,matched,False,,,
40,2025-01-01,2025-01-01 06:00:00,2025-01-01 22:00:00,960,16,13-18h,6,0.0000000000,0.0000000000,matched,False,,,
41,2025-01-01,2025-01-01 06:00:00,2025-01-01 23:00:00,1020,17,13-18h,6,0.0000000000,0.0000000000,matched,False,,,
42,2025-01-01,2025-01-01 06:00:00,2025-01-02 00:00:00,1080,18,13-18h,6,0.0000000000,0.0000000000,matched,False,,,
