operating_date,slot,interval_start,interval_end,price_yuan_per_kwh,load_kw,pv_actual_kw,net_load_kw,month,weekday,hour,minute
2025-01-01,1,2025-01-01 00:00:00,2025-01-01 00:10:00,0.4527000000,3529.7296000000,0.0000000000,3529.7296000000,1,2,0,0
2025-01-01,2,2025-01-01 00:10:00,2025-01-01 00:20:00,0.4733000000,3609.5287000000,0.0000000000,3609.5287000000,1,2,0,10
2025-01-01,3,2025-01-01 00:20:00,2025-01-01 00:30:00,0.4843000000,3726.5600000000,0.0000000000,3726.5600000000,1,2,0,20
2025-01-01,4,2025-01-01 00:30:00,2025-01-01 00:40:00,0.4541000000,3510.6311000000,0.0000000000,3510.6311000000,1,2,0,30
2025-01-01,5,2025-01-01 00:40:00,2025-01-01 00:50:00,0.4266000000,3502.5625000000,0.0000000000,3502.5625000000,1,2,0,40
2025-01-01,6,2025-01-01 00:50:00,2025-01-01 01:00:00,0.4311000000,3787.0100000000,0.0000000000,3787.0100000000,1,2,0,50
2025-01-01,7,2025-01-01 01:00:00,2025-01-01 01:10:00,0.4544000000,3900.3205000000,0.0000000000,3900.3205000000,1,2,1,0
2025-01-01,8,2025-01-01 01:10:00,2025-01-01 01:20:00,0.4483000000,3916.8376000000,0.0000000000,3916.8376000000,1,2,1,10
2025-01-01,9,2025-01-01 01:20:00,2025-01-01 01:30:00,0.4251000000,3817.2800000000,0.0000000000,3817.2800000000,1,2,1,20
2025-01-01,10,2025-01-01 01:30:00,2025-01-01 01:40:00,0.4440000000,3533.0136000000,0.0000000000,3533.0136000000,1,2,1,30
2025-01-01,11,2025-01-01 01:40:00,2025-01-01 01:50:00,0.4780000000,3694.6613000000,0.0000000000,3694.6613000000,1,2,1,40
2025-01-01,12,2025-01-01 01:50:00,2025-01-01 02:00:00,0.4941000000,4064.7300000000,0.0000000000,4064.7300000000,1,2,1,50
2025-01-01,13,2025-01-01 02:00:00,2025-01-01 02:10:00,0.4840000000,3810.6710000000,0.0000000000,3810.6710000000,1,2,2,0
2025-01-01,14,2025-01-01 02:10:00,2025-01-01 02:20:00,0.4751000000,3844.9495000000,0.0000000000,3844.9495000000,1,2,2,10
2025-01-01,15,2025-01-01 02:20:00,2025-01-01 02:30:00,0.4880000000,4234.6200000000,0.0000000000,4234.6200000000,1,2,2,20
2025-01-01,16,2025-01-01 02:30:00,2025-01-01 02:40:00,0.5215000000,4109.9755000000,0.0000000000,4109.9755000000,1,2,2,30
2025-01-01,17,2025-01-01 02:40:00,2025-01-01 02:50:00,0.5498000000,3996.8945000000,0.0000000000,3996.8945000000,1,2,2,40
2025-01-01,18,2025-01-01 02:50:00,2025-01-01 03:00:00,0.5471000000,4102.1900000000,0.0000000000,4102.1900000000,1,2,2,50
2025-01-01,19,2025-01-01 03:00:00,2025-01-01 03:10:00,0.5067000000,4086.0577000000,0.0000000000,4086.0577000000,1,2,3,0
2025-01-01,20,2025-01-01 03:10:00,2025-01-01 03:20:00,0.4769000000,4133.7626000000,0.0000000000,4133.7626000000,1,2,3,10
2025-01-01,21,2025-01-01 03:20:00,2025-01-01 03:30:00,0.4669000000,4179.1800000000,0.0000000000,4179.1800000000,1,2,3,20
2025-01-01,22,2025-01-01 03:30:00,2025-01-01 03:40:00,0.4501000000,3953.3711000000,0.0000000000,3953.3711000000,1,2,3,30
2025-01-01,23,2025-01-01 03:40:00,2025-01-01 03:50:00,0.4608000000,3910.7496000000,0.0000000000,3910.7496000000,1,2,3,40
2025-01-01,24,2025-01-01 03:50:00,2025-01-01 04:00:00,0.4927000000,4099.3100000000,0.0000000000,4099.3100000000,1,2,3,50
2025-01-01,25,2025-01-01 04:00:00,2025-01-01 04:10:00,0.4976000000,4123.8623000000,0.0000000000,4123.8623000000,1,2,4,0
2025-01-01,26,2025-01-01 04:10:00,2025-01-01 04:20:00,0.4889000000,4169.0068000000,0.0000000000,4169.0068000000,1,2,4,10
2025-01-01,27,2025-01-01 04:20:00,2025-01-01 04:30:00,0.4885000000,4260.2400000000,0.0000000000,4260.2400000000,1,2,4,20
