operating_date,slot,interval_start,interval_end,load_kw,pv_actual_kw,price_yuan_per_kwh,load_kwh,pv_actual_kwh,net_load_kw,net_load_kwh,pv_lag_1d,pv_lag_7d,load_lag_1d,load_lag_7d,pv_same_slot_7d_mean
2025-01-01,1,2025-01-01 00:00:00,2025-01-01 00:10:00,3529.7296,0,0.4527,588.2882667,0,3529.7296,588.2882667,,,,,
2025-01-01,2,2025-01-01 00:10:00,2025-01-01 00:20:00,3609.5287,0,0.4733,601.5881167,0,3609.5287,601.5881167,,,,,
2025-01-01,3,2025-01-01 00:20:00,2025-01-01 00:30:00,3726.56,0,0.4843,621.0933333,0,3726.56,621.0933333,,,,,
2025-01-01,4,2025-01-01 00:30:00,2025-01-01 00:40:00,3510.6311,0,0.4541,585.1051833,0,3510.6311,585.1051833,,,,,
2025-01-01,5,2025-01-01 00:40:00,2025-01-01 00:50:00,3502.5625,0,0.4266,583.7604167,0,3502.5625,583.7604167,,,,,
2025-01-01,6,2025-01-01 00:50:00,2025-01-01 01:00:00,3787.01,0,0.4311,631.1683333,0,3787.01,631.1683333,,,,,
2025-01-01,7,2025-01-01 01:00:00,2025-01-01 01:10:00,3900.3205,0,0.4544,650.0534167,0,3900.3205,650.0534167,,,,,
2025-01-01,8,2025-01-01 01:10:00,2025-01-01 01:20:00,3916.8376,0,0.4483,652.8062667,0,3916.8376,652.8062667,,,,,
2025-01-01,9,2025-01-01 01:20:00,2025-01-01 01:30:00,3817.28,0,0.4251,636.2133333,0,3817.28,636.2133333,,,,,
2025-01-01,10,2025-01-01 01:30:00,2025-01-01 01:40:00,3533.0136,0,0.444,588.8356,0,3533.0136,588.8356,,,,,
2025-01-01,11,2025-01-01 01:40:00,2025-01-01 01:50:00,3694.6613,0,0.478,615.7768833,0,3694.6613,615.7768833,,,,,
2025-01-01,12,2025-01-01 01:50:00,2025-01-01 02:00:00,4064.73,0,0.4941,677.455,0,4064.73,677.455,,,,,
2025-01-01,13,2025-01-01 02:00:00,2025-01-01 02:10:00,3810.671,0,0.484,635.1118333,0,3810.671,635.1118333,,,,,
2025-01-01,14,2025-01-01 02:10:00,2025-01-01 02:20:00,3844.9495,0,0.4751,640.8249167,0,3844.9495,640.8249167,,,,,
2025-01-01,15,2025-01-01 02:20:00,2025-01-01 02:30:00,4234.62,0,0.488,705.77,0,4234.62,705.77,,,,,
2025-01-01,16,2025-01-01 02:30:00,2025-01-01 02:40:00,4109.9755,0,0.5215,684.9959167,0,4109.9755,684.9959167,,,,,
2025-01-01,17,2025-01-01 02:40:00,2025-01-01 02:50:00,3996.8945,0,0.5498,666.1490833,0,3996.8945,666.1490833,,,,,
2025-01-01,18,2025-01-01 02:50:00,2025-01-01 03:00:00,4102.19,0,0.5471,683.6983333,0,4102.19,683.6983333,,,,,
2025-01-01,19,2025-01-01 03:00:00,2025-01-01 03:10:00,4086.0577,0,0.5067,681.0096167,0,4086.0577,681.0096167,,,,,
2025-01-01,20,2025-01-01 03:10:00,2025-01-01 03:20:00,4133.7626,0,0.4769,688.9604333,0,4133.7626,688.9604333,,,,,
2025-01-01,21,2025-01-01 03:20:00,2025-01-01 03:30:00,4179.18,0,0.4669,696.53,0,4179.18,696.53,,,,,
2025-01-01,22,2025-01-01 03:30:00,2025-01-01 03:40:00,3953.3711,0,0.4501,658.8951833,0,3953.3711,658.8951833,,,,,
2025-01-01,23,2025-01-01 03:40:00,2025-01-01 03:50:00,3910.7496,0,0.4608,651.7916,0,3910.7496,651.7916,,,,,
2025-01-01,24,2025-01-01 03:50:00,2025-01-01 04:00:00,4099.31,0,0.4927,683.2183333,0,4099.31,683.2183333,,,,,
2025-01-01,25,2025-01-01 04:00:00,2025-01-01 04:10:00,4123.8623,0,0.4976,687.3103833,0,4123.8623,687.3103833,,,,,
2025-01-01,26,2025-01-01 04:10:00,2025-01-01 04:20:00,4169.0068,0,0.4889,694.8344667,0,4169.0068,694.8344667,,,,,
2025-01-01,27,2025-01-01 04:20:00,2025-01-01 04:30:00,4260.24,0,0.4885,710.04,0,4260.24,710.04,,,,,
2025-01-01,28,2025-01-01 04:30:00,2025-01-01 04:40:00,4217.2222,0,0.5042,702.8703667,0,4217.2222,702.8703667,,,,,
2025-01-01,29,2025-01-01 04:40:00,2025-01-01 04:50:00,4261.857,0,0.5178,710.3095,0,4261.857,710.3095,,,,,
2025-01-01,30,2025-01-01 04:50:00,2025-01-01 05:00:00,4341.9,0,0.5042,723.65,0,4341.9,723.65,,,,,
2025-01-01,31,2025-01-01 05:00:00,2025-01-01 05:10:00,4208.2208,0.0021,0.4639,701.3701333,0.00035,4208.2187,701.3697833,,,,,
2025-01-01,32,2025-01-01 05:10:00,2025-01-01 05:20:00,4302.1233,0,0.4899,717.02055,0,4302.1233,717.02055,,,,,
2025-01-01,33,2025-01-01 05:20:00,2025-01-01 05:30:00,4456.59,0,0.5194,742.765,0,4456.59,742.765,,,,,
2025-01-01,34,2025-01-01 05:30:00,2025-01-01 05:40:00,4148.637,0.0299,0.4459,691.4395,0.004983333333,4148.6071,691.4345167,,,,,
2025-01-01,35,2025-01-01 05:40:00,2025-01-01 05:50:00,4498.1333,0,0.6726,749.6888833,0,4498.1333,749.6888833,,,,,
2025-01-01,36,2025-01-01 05:50:00,2025-01-01 06:00:00,5369.38,0,1.0693,894.8966667,0,5369.38,894.8966667,,,,,
2025-01-01,37,2025-01-01 06:00:00,2025-01-01 06:10:00,5440.8991,0.4169,1.0696,906.8165167,0.06948333333,5440.4822,906.7470333,,,,,
2025-01-01,38,2025-01-01 06:10:00,2025-01-01 06:20:00,5316.893,0,0.9974,886.1488333,0,5316.893,886.1488333,,,,,
2025-01-01,39,2025-01-01 06:20:00,2025-01-01 06:30:00,5399.82,0,1.0451,899.97,0,5399.82,899.97,,,,,
2025-01-01,40,2025-01-01 06:30:00,2025-01-01 06:40:00,5447.4007,5.8062,1.0684,907.9001167,0.9677,5441.5945,906.9324167,,,,,
2025-01-01,41,2025-01-01 06:40:00,2025-01-01 06:50:00,5444.401,0,1.0267,907.4001667,0,5444.401,907.4001667,,,,,
2025-01-01,42,2025-01-01 06:50:00,2025-01-01 07:00:00,5433.63,3.075,0.9814,905.605,0.5125,5430.555,905.0925,,,,,
2025-01-01,43,2025-01-01 07:00:00,2025-01-01 07:10:00,5449.2818,175.7953,1.0187,908.2136333,29.29921667,5273.4865,878.9144167,,,,,
2025-01-01,44,2025-01-01 07:10:00,2025-01-01 07:20:00,5510.0042,421.496,1.0362,918.3340333,70.24933333,5088.5082,848.0847,,,,,
2025-01-01,45,2025-01-01 07:20:00,2025-01-01 07:30:00,5476,677.1,0.967,912.6666667,112.85,4798.9,799.8166667,,,,,
2025-01-01,46,2025-01-01 07:30:00,2025-01-01 07:40:00,5329.4215,950.8112,0.893,888.2369167,158.4685333,4378.6103,729.7683833,,,,,
2025-01-01,47,2025-01-01 07:40:00,2025-01-01 07:50:00,6084.1163,1255.5705,1.136,1014.019383,209.26175,4828.5458,804.7576333,,,,,
2025-01-01,48,2025-01-01 07:50:00,2025-01-01 08:00:00,7316,1592.2875,1.5209,1219.333333,265.38125,5723.7125,953.9520833,,,,,
2025-01-01,49,2025-01-01 08:00:00,2025-01-01 08:10:00,7469.4947,1937.5212,1.5206,1244.915783,322.9202,5531.9735,921.9955833,,,,,
2025-01-01,50,2025-01-01 08:10:00,2025-01-01 08:20:00,7225.691,2225.1261,1.4132,1204.281833,370.85435,5000.5649,833.4274833,,,,,
2025-01-01,51,2025-01-01 08:20:00,2025-01-01 08:30:00,7216.13,2490.1125,1.3895,1202.688333,415.01875,4726.0175,787.6695833,,,,,
2025-01-01,52,2025-01-01 08:30:00,2025-01-01 08:40:00,7361.7004,2826.3146,1.361,1226.950067,471.0524333,4535.3858,755.8976333,,,,,
2025-01-01,53,2025-01-01 08:40:00,2025-01-01 08:50:00,7275.513,3122.1315,1.3028,1212.5855,520.35525,4153.3815,692.23025,,,,,
2025-01-01,54,2025-01-01 08:50:00,2025-01-01 09:00:00,7077.29,3350.9625,1.2562,1179.548333,558.49375,3726.3275,621.0545833,,,,,
2025-01-01,55,2025-01-01 09:00:00,2025-01-01 09:10:00,7221.8762,3601.7977,1.2749,1203.646033,600.2996167,3620.0785,603.3464167,,,,,
