forecast_id,release_time,horizon_hour,target_time,pv_forecast_kw,pv_actual_kw,alignment_status,unmatched_reason,absolute_error_kw
1,2025-01-01 00:00:00,1,2025-01-01 01:00:00,0,0,matched,,0
2,2025-01-01 00:00:00,2,2025-01-01 02:00:00,0,0,matched,,0
3,2025-01-01 00:00:00,3,2025-01-01 03:00:00,0,0,matched,,0
4,2025-01-01 00:00:00,4,2025-01-01 04:00:00,0,0,matched,,0
5,2025-01-01 00:00:00,5,2025-01-01 05:00:00,0,0,matched,,0
6,2025-01-01 00:00:00,6,2025-01-01 06:00:00,0,0,matched,,0
7,2025-01-01 00:00:00,7,2025-01-01 07:00:00,3.1173,3.075,matched,,0.0423
8,2025-01-01 00:00:00,8,2025-01-01 08:00:00,1603.3305,1592.2875,matched,,11.043
9,2025-01-01 00:00:00,9,2025-01-01 09:00:00,3409.0929,3350.9625,matched,,58.1304
10,2025-01-01 00:00:00,10,2025-01-01 10:00:00,4871.2875,4836.6375,matched,,34.65
11,2025-01-01 00:00:00,11,2025-01-01 11:00:00,5785.111,5372.1,matched,,413.011
12,2025-01-01 00:00:00,12,2025-01-01 12:00:00,5737.1717,5331.7125,matched,,405.4592
13,2025-01-01 00:00:00,13,2025-01-01 13:00:00,6047.3964,5261.8125,matched,,785.5839
14,2025-01-01 00:00:00,14,2025-01-01 14:00:00,4687.1165,4478.625,matched,,208.4915
15,2025-01-01 00:00:00,15,2025-01-01 15:00:00,3572.6529,3327.3375,matched,,245.3154
16,2025-01-01 00:00:00,16,2025-01-01 16:00:00,1629.9964,1525.8,matched,,104.1964
17,2025-01-01 00:00:00,17,2025-01-01 17:00:00,3.1956,2.9625,matched,,0.2331
18,2025-01-01 00:00:00,18,2025-01-01 18:00:00,0,0,matched,,0
19,2025-01-01 00:00:00,19,2025-01-01 19:00:00,0,0,matched,,0
20,2025-01-01 00:00:00,20,2025-01-01 20:00:00,0,0,matched,,0
21,2025-01-01 00:00:00,21,2025-01-01 21:00:00,0,0,matched,,0
22,2025-01-01 00:00:00,22,2025-01-01 22:00:00,0,0,matched,,0
23,2025-01-01 00:00:00,23,2025-01-01 23:00:00,0,0,matched,,0
24,2025-01-01 00:00:00,24,2025-01-02 00:00:00,0,0,matched,,0
25,2025-01-01 06:00:00,1,2025-01-01 07:00:00,3.0919,3.075,matched,,0.0169
26,2025-01-01 06:00:00,2,2025-01-01 08:00:00,1588.7839,1592.2875,matched,,3.5036
27,2025-01-01 06:00:00,3,2025-01-01 09:00:00,3297.9893,3350.9625,matched,,52.9732
28,2025-01-01 06:00:00,4,2025-01-01 10:00:00,4692.2274,4836.6375,matched,,144.4101
29,2025-01-01 06:00:00,5,2025-01-01 11:00:00,5220.3894,5372.1,matched,,151.7106
30,2025-01-01 06:00:00,6,2025-01-01 12:00:00,5078.6992,5331.7125,matched,,253.0133
31,2025-01-01 06:00:00,7,2025-01-01 13:00:00,5314.2003,5261.8125,matched,,52.3878
32,2025-01-01 06:00:00,8,2025-01-01 14:00:00,4833.7142,4478.625,matched,,355.0892
33,2025-01-01 06:00:00,9,2025-01-01 15:00:00,3588.0375,3327.3375,matched,,260.7
34,2025-01-01 06:00:00,10,2025-01-01 16:00:00,1660.0369,1525.8,matched,,134.2369
35,2025-01-01 06:00:00,11,2025-01-01 17:00:00,3.0359,2.9625,matched,,0.0734
36,2025-01-01 06:00:00,12,2025-01-01 18:00:00,0,0,matched,,0
37,2025-01-01 06:00:00,13,2025-01-01 19:00:00,0,0,matched,,0
38,2025-01-01 06:00:00,14,2025-01-01 20:00:00,0,0,matched,,0
39,2025-01-01 06:00:00,15,2025-01-01 21:00:00,0,0,matched,,0
40,2025-01-01 06:00:00,16,2025-01-01 22:00:00,0,0,matched,,0
41,2025-01-01 06:00:00,17,2025-01-01 23:00:00,0,0,matched,,0
42,2025-01-01 06:00:00,18,2025-01-02 00:00:00,0,0,matched,,0
43,2025-01-01 06:00:00,19,2025-01-02 01:00:00,0,0,matched,,0
44,2025-01-01 06:00:00,20,2025-01-02 02:00:00,0,0,matched,,0
45,2025-01-01 06:00:00,21,2025-01-02 03:00:00,0,0,matched,,0
46,2025-01-01 06:00:00,22,2025-01-02 04:00:00,0,0,matched,,0
47,2025-01-01 06:00:00,23,2025-01-02 05:00:00,0,0,matched,,0
48,2025-01-01 06:00:00,24,2025-01-02 06:00:00,0,0,matched,,0
49,2025-01-01 12:00:00,1,2025-01-01 13:00:00,5330.4298,5261.8125,matched,,68.6173
50,2025-01-01 12:00:00,2,2025-01-01 14:00:00,4549.2579,4478.625,matched,,70.6329
51,2025-01-01 12:00:00,3,2025-01-01 15:00:00,3365.5312,3327.3375,matched,,38.1937
52,2025-01-01 12:00:00,4,2025-01-01 16:00:00,1504.2156,1525.8,matched,,21.5844
53,2025-01-01 12:00:00,5,2025-01-01 17:00:00,2.8622,2.9625,matched,,0.1003
54,2025-01-01 12:00:00,6,2025-01-01 18:00:00,0,0,matched,,0
55,2025-01-01 12:00:00,7,2025-01-01 19:00:00,0,0,matched,,0
56,2025-01-01 12:00:00,8,2025-01-01 20:00:00,0,0,matched,,0
57,2025-01-01 12:00:00,9,2025-01-01 21:00:00,0,0,matched,,0
58,2025-01-01 12:00:00,10,2025-01-01 22:00:00,0,0,matched,,0
59,2025-01-01 12:00:00,11,2025-01-01 23:00:00,0,0,matched,,0
60,2025-01-01 12:00:00,12,2025-01-02 00:00:00,0,0,matched,,0
61,2025-01-01 12:00:00,13,2025-01-02 01:00:00,0,0,matched,,0
62,2025-01-01 12:00:00,14,2025-01-02 02:00:00,0,0,matched,,0
63,2025-01-01 12:00:00,15,2025-01-02 03:00:00,0,0,matched,,0
64,2025-01-01 12:00:00,16,2025-01-02 04:00:00,0,0,matched,,0
65,2025-01-01 12:00:00,17,2025-01-02 05:00:00,0,0,matched,,0
66,2025-01-01 12:00:00,18,2025-01-02 06:00:00,0,0,matched,,0
67,2025-01-01 12:00:00,19,2025-01-02 07:00:00,6.8708,6.6375,matched,,0.2333
68,2025-01-01 12:00:00,20,2025-01-02 08:00:00,1827.9739,1536.3375,matched,,291.6364
69,2025-01-01 12:00:00,21,2025-01-02 09:00:00,3207.1033,3267.2625,matched,,60.1592
70,2025-01-01 12:00:00,22,2025-01-02 10:00:00,4565.1144,4356.1125,matched,,209.0019
71,2025-01-01 12:00:00,23,2025-01-02 11:00:00,6040.8,5277.5625,matched,,763.2375
72,2025-01-01 12:00:00,24,2025-01-02 12:00:00,6339.1125,5328.3,matched,,1010.8125
73,2025-01-01 18:00:00,1,2025-01-01 19:00:00,0,0,matched,,0
74,2025-01-01 18:00:00,2,2025-01-01 20:00:00,0,0,matched,,0
75,2025-01-01 18:00:00,3,2025-01-01 21:00:00,0,0,matched,,0
76,2025-01-01 18:00:00,4,2025-01-01 22:00:00,0,0,matched,,0
77,2025-01-01 18:00:00,5,2025-01-01 23:00:00,0,0,matched,,0
78,2025-01-01 18:00:00,6,2025-01-02 00:00:00,0,0,matched,,0
79,2025-01-01 18:00:00,7,2025-01-02 01:00:00,0,0,matched,,0
80,2025-01-01 18:00:00,8,2025-01-02 02:00:00,0,0,matched,,0
81,2025-01-01 18:00:00,9,2025-01-02 03:00:00,0,0,matched,,0
82,2025-01-01 18:00:00,10,2025-01-02 04:00:00,0,0,matched,,0
