slot,interval_start,interval_end,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,net_load_kw,net_load_kwh
1,00:00,00:10,0.4248,3439.8466,0,573.3077667,0,3439.8466,573.3077667
2,00:10,00:20,0.4245,3437.9792,0,572.9965333,0,3437.9792,572.9965333
3,00:20,00:30,0.4269,3444.3031,0,574.0505167,0,3444.3031,574.0505167
4,00:30,00:40,0.4272,3454.4437,0,575.7406167,0,3454.4437,575.7406167
5,00:40,00:50,0.4271,3458.8273,0,576.4712167,0,3458.8273,576.4712167
6,00:50,01:00,0.4285,3459.8401,0,576.6400167,0,3459.8401,576.6400167
7,01:00,01:10,0.4311,3467.1582,0,577.8597,0,3467.1582,577.8597
8,01:10,01:20,0.4302,3467.9632,0,577.9938667,0,3467.9632,577.9938667
9,01:20,01:30,0.4279,3466.9683,0,577.82805,0,3466.9683,577.82805
10,01:30,01:40,0.4312,3482.4927,0,580.41545,0,3482.4927,580.41545
11,01:40,01:50,0.4333,3495.0841,0,582.5140167,0,3495.0841,582.5140167
12,01:50,02:00,0.4311,3498.4443,0,583.07405,0,3498.4443,583.07405
13,02:00,02:10,0.4293,3505.2295,0,584.2049167,0,3505.2295,584.2049167
14,02:10,02:20,0.4324,3512.6387,0,585.4397833,0,3512.6387,585.4397833
15,02:20,02:30,0.4367,3516.8685,0,586.14475,0,3516.8685,586.14475
16,02:30,02:40,0.4348,3517.9246,0,586.3207667,0,3517.9246,586.3207667
17,02:40,02:50,0.4335,3518.5518,0,586.4253,0,3518.5518,586.4253
18,02:50,03:00,0.4357,3521.0976,0,586.8496,0,3521.0976,586.8496
19,03:00,03:10,0.4374,3526.9261,0,587.8210167,0,3526.9261,587.8210167
20,03:10,03:20,0.4371,3537.2854,0,589.5475667,0,3537.2854,589.5475667
21,03:20,03:30,0.4356,3544.8808,0,590.8134667,0,3544.8808,590.8134667
22,03:30,03:40,0.4353,3541.2787,0,590.2131167,0,3541.2787,590.2131167
23,03:40,03:50,0.436,3546.3976,0,591.0662667,0,3546.3976,591.0662667
24,03:50,04:00,0.4378,3560.207,0,593.3678333,0,3560.207,593.3678333
25,04:00,04:10,0.4401,3561.9581,0,593.6596833,0,3561.9581,593.6596833
26,04:10,04:20,0.4389,3556.7183,0,592.7863833,0,3556.7183,592.7863833
27,04:20,04:30,0.4364,3560.0272,0,593.3378667,0,3560.0272,593.3378667
28,04:30,04:40,0.4393,3580.654,0.5994,596.7756667,0.0999,3580.0546,596.6757667
29,04:40,04:50,0.4422,3586.916,0.2345,597.8193333,0.03908333333,3586.6815,597.78025
30,04:50,05:00,0.4395,3571.2635,0.2885,595.2105833,0.04808333333,3570.975,595.1625
31,05:00,05:10,0.4333,3562.3171,18.6781,593.7195167,3.113016667,3543.639,590.6065
32,05:10,05:20,0.4439,3591.3809,54.4698,598.5634833,9.0783,3536.9111,589.4851833
33,05:20,05:30,0.4301,3579.7045,108.9718,596.6174167,18.16196667,3470.7327,578.45545
34,05:30,05:40,0.3713,3486.119,184.1603,581.0198333,30.69338333,3301.9587,550.32645
35,05:40,05:50,0.5708,3823.8994,277.0582,637.3165667,46.17636667,3546.8412,591.1402
36,05:50,06:00,0.9099,4398.0727,388.5494,733.0121167,64.75823333,4009.5233,668.2538833
37,06:00,06:10,0.9368,4454.0123,521.2803,742.3353833,86.88005,3932.732,655.4553333
38,06:10,06:20,0.8758,4371.7919,672.7677,728.6319833,112.12795,3699.0242,616.5040333
39,06:20,06:30,0.8759,4392.953,844.2261,732.1588333,140.70435,3548.7269,591.4544833
40,06:30,06:40,0.8601,4384.5956,1039.6744,730.7659333,173.2790667,3344.9212,557.4868667
41,06:40,06:50,0.8442,4434.7757,1259.3375,739.1292833,209.8895833,3175.4382,529.2397
42,06:50,07:00,0.8334,4523.4561,1508.6318,753.90935,251.4386333,3014.8243,502.4707167
43,07:00,07:10,0.8092,4524.0721,1791.4107,754.0120167,298.56845,2732.6614,455.4435667
44,07:10,07:20,0.7972,4545.8867,2085.4865,757.6477833,347.5810833,2460.4002,410.0667
45,07:20,07:30,0.7644,4523.2418,2381.2611,753.8736333,396.87685,2141.9807,356.9967833
46,07:30,07:40,0.6899,4383.3566,2683.1752,730.5594333,447.1958667,1700.1814,283.3635667
47,07:40,07:50,0.86,4910.4599,2986.3552,818.4099833,497.7258667,1924.1047,320.6841167
48,07:50,08:00,1.1617,5799.7327,3289.204,966.6221167,548.2006667,2510.5287,418.42145
49,08:00,08:10,1.1683,5884.826,3593.3613,980.8043333,598.89355,2291.4647,381.9107833
50,08:10,08:20,1.0956,5748.0713,3890.7332,958.0118833,648.4555333,1857.3381,309.55635
51,08:20,08:30,1.0849,5769.0581,4181.3417,961.5096833,696.8902833,1587.7164,264.6194
52,08:30,08:40,1.061,5754.2105,4471.7657,959.0350833,745.2942833,1282.4448,213.7408
53,08:40,08:50,1.043,5824.1807,4752.8272,970.6967833,792.1378667,1071.3535,178.5589167
54,08:50,09:00,1.036,5954.2601,5021.9074,992.3766833,836.9845667,932.3527,155.3921167
55,09:00,09:10,1.0147,5958.9696,5285.4126,993.1616,880.9021,673.557,112.2595
56,09:10,09:20,0.9922,5929.5554,5543.1742,988.2592333,923.8623667,386.3812,64.39686667
57,09:20,09:30,0.97,5923.7828,5788.4093,987.2971333,964.7348833,135.3735,22.56225
58,09:30,09:40,0.9422,5907.586,6012.1304,984.5976667,1002.021733,-104.5444,-17.42406667
59,09:40,09:50,0.9569,5899.1262,6216.1528,983.1877,1036.025467,-317.0266,-52.83776667
60,09:50,10:00,0.9977,5902.2196,6409.5941,983.7032667,1068.265683,-507.3745,-84.56241667
61,10:00,10:10,0.9919,5897.4793,6599.3808,982.9132167,1099.8968,-701.9015,-116.9835833
62,10:10,10:20,0.9588,5886.7568,6766.7204,981.1261333,1127.786733,-879.9636,-146.6606
63,10:20,10:30,0.9549,5873.4708,6914.5923,978.9118,1152.43205,-1041.1215,-173.52025
64,10:30,10:40,0.9839,5858.0308,7064.2053,976.3384667,1177.36755,-1206.1745,-201.0290833
65,10:40,10:50,0.799,5844.9948,7197.4315,974.1658,1199.571917,-1352.4367,-225.4061167
66,10:50,11:00,0.5025,5839.0587,7303.1142,973.17645,1217.1857,-1464.0555,-244.00925
67,11:00,11:10,0.4662,5838.7103,7387.6848,973.1183833,1231.2808,-1548.9745,-258.1624167
68,11:10,11:20,0.5007,5823.4378,7459.227,970.5729667,1243.2045,-1635.7892,-272.6315333
69,11:20,11:30,0.4827,5814.7932,7520.7191,969.1322,1253.453183,-1705.9259,-284.3209833
70,11:30,11:40,0.4785,5832.3951,7568.2039,972.06585,1261.367317,-1735.8088,-289.3014667
71,11:40,11:50,0.4662,5712.901,7592.1539,952.1501667,1265.358983,-1879.2529,-313.2088167
72,11:50,12:00,0.4432,5519.4607,7601.0433,919.9101167,1266.84055,-2081.5826,-346.9304333
73,12:00,12:10,0.4411,5494.7907,7612.316,915.79845,1268.719333,-2117.5253,-352.9208833
74,12:10,12:20,0.4551,5514.4524,7602.6524,919.0754,1267.108733,-2088.2,-348.0333333
75,12:20,12:30,0.4463,5485.829,7554.1872,914.3048333,1259.0312,-2068.3582,-344.7263667
76,12:30,12:40,0.4113,5462.3628,7472.7384,910.3938,1245.4564,-2010.3756,-335.0626
77,12:40,12:50,0.5682,5566.1066,7393.4172,927.6844333,1232.2362,-1827.3106,-304.5517667
78,12:50,13:00,0.8279,5725.7548,7312.7979,954.2924667,1218.79965,-1587.0431,-264.5071833
79,13:00,13:10,0.8636,5739.4957,7194.541,956.5826167,1199.090167,-1455.0453,-242.50755
80,13:10,13:20,0.8416,5714.6836,7053.1371,952.4472667,1175.52285,-1338.4535,-223.0755833
81,13:20,13:30,0.8618,5717.8505,6910.4064,952.9750833,1151.7344,-1192.5559,-198.7593167
82,13:30,13:40,0.8623,5708.2486,6772.4075,951.3747667,1128.734583,-1064.1589,-177.3598167
83,13:40,13:50,0.9026,5696.9182,6607.36,949.4863667,1101.226667,-910.4418,-151.7403
84,13:50,14:00,0.9754,5692.2983,6412.5085,948.7163833,1068.751417,-720.2102,-120.0350333
85,14:00,14:10,1.0002,5687.1291,6214.0158,947.85485,1035.6693,-526.8867,-87.81445
86,14:10,14:20,0.9978,5678.962,6000.7112,946.4936667,1000.118533,-321.7492,-53.62486667
87,14:20,14:30,1.0271,5669.4508,5766.9816,944.9084667,961.1636,-97.5308,-16.25513333
88,14:30,14:40,1.0906,5664.1948,5521.5066,944.0324667,920.2511,142.6882,23.78136667
89,14:40,14:50,0.9376,5672.7011,5268.781,945.4501833,878.1301667,403.9201,67.32001667
90,14:50,15:00,0.6694,5682.2544,5009.7152,947.0424,834.9525333,672.5392,112.0898667
91,15:00,15:10,0.66,5669.0195,4743.4484,944.8365833,790.5747333,925.5711,154.26185
92,15:10,15:20,0.7217,5656.3651,4471.224,942.7275167,745.204,1185.1411,197.5235167
93,15:20,15:30,0.7308,5657.0867,4188.2025,942.8477833,698.03375,1468.8842,244.8140333
94,15:30,15:40,0.7534,5662.6008,3889.3931,943.7668,648.2321833,1773.2077,295.5346167
95,15:40,15:50,0.7823,5669.2596,3594.5946,944.8766,599.0991,2074.665,345.7775
96,15:50,16:00,0.8055,5673.4767,3303.8878,945.57945,550.6479667,2369.5889,394.9314833
97,16:00,16:10,0.8271,5671.0146,2998.4247,945.1691,499.73745,2672.5899,445.43165
98,16:10,16:20,0.8519,5661.5926,2687.4131,943.5987667,447.9021833,2974.1795,495.6965833
99,16:20,16:30,0.8791,5665.8922,2383.1779,944.3153667,397.1963167,3282.7143,547.11905
100,16:30,16:40,0.9024,5689.0372,2089.1246,948.1728667,348.1874333,3599.9126,599.9854333
101,16:40,16:50,0.9163,5603.6614,1791.0829,933.9435667,298.5138167,3812.5785,635.42975
102,16:50,17:00,0.9264,5466.7124,1501.7283,911.1187333,250.28805,3964.9841,660.8306833
103,17:00,17:10,0.9462,5467.3939,1255.1723,911.2323167,209.1953833,4212.2216,702.0369333
104,17:10,17:20,0.9742,5464.727,1036.3323,910.7878333,172.72205,4428.3947,738.0657833
105,17:20,17:30,0.9862,5492.4458,836.7775,915.4076333,139.4629167,4655.6683,775.9447167
106,17:30,17:40,0.976,5621.7308,665.2313,936.9551333,110.8718833,4956.4995,826.08325
107,17:40,17:50,1.0742,5091.2126,516.6758,848.5354333,86.11263333,4574.5368,762.4228
108,17:50,18:00,1.2313,4208.5688,386.6731,701.4281333,64.44551667,3821.8957,636.9826167
109,18:00,18:10,1.2561,4122.7611,275.7933,687.12685,45.96555,3846.9678,641.1613
110,18:10,18:20,1.2447,4255.9358,182.9526,709.3226333,30.4921,4072.9832,678.8305333
111,18:20,18:30,1.2545,4225.9524,108.3414,704.3254,18.0569,4117.611,686.2685
112,18:30,18:40,1.2522,4233.3384,54.3121,705.5564,9.052016667,4179.0263,696.5043833
113,18:40,18:50,1.2881,4246.4625,18.6569,707.74375,3.109483333,4227.8056,704.6342667
114,18:50,19:00,1.3466,4239.1795,0.2753,706.5299167,0.04588333333,4238.9042,706.4840333
115,19:00,19:10,1.3523,4244.6684,0.2296,707.4447333,0.03826666667,4244.4388,707.4064667
116,19:10,19:20,1.3445,4251.9187,0.6007,708.6531167,0.1001166667,4251.318,708.553
117,19:20,19:30,1.3483,4256.6813,0,709.4468833,0,4256.6813,709.4468833
118,19:30,19:40,1.349,4267.3947,0,711.23245,0,4267.3947,711.23245
119,19:40,19:50,1.3473,4269.975,0,711.6625,0,4269.975,711.6625
120,19:50,20:00,1.3482,4268.6702,0,711.4450333,0,4268.6702,711.4450333
121,20:00,20:10,1.3513,4282.2245,0,713.7040833,0,4282.2245,713.7040833
122,20:10,20:20,1.34,4291.7049,0,715.28415,0,4291.7049,715.28415
123,20:20,20:30,1.3489,4291.3611,0,715.22685,0,4291.3611,715.22685
124,20:30,20:40,1.3952,4293.9182,0,715.6530333,0,4293.9182,715.6530333
125,20:40,20:50,1.2226,4295.2135,0,715.8689167,0,4295.2135,715.8689167
126,20:50,21:00,0.9332,4302.0307,0,717.0051167,0,4302.0307,717.0051167
127,21:00,21:10,0.9068,4320.9618,0,720.1603,0,4320.9618,720.1603
128,21:10,21:20,0.9371,4302.3292,0,717.0548667,0,4302.3292,717.0548667
129,21:20,21:30,0.9371,4322.6758,0,720.4459667,0,4322.6758,720.4459667
130,21:30,21:40,0.9871,4428.8083,0,738.1347167,0,4428.8083,738.1347167
131,21:40,21:50,0.7764,4030.1614,0,671.6935667,0,4030.1614,671.6935667
132,21:50,22:00,0.4209,3362.7419,0,560.4569833,0,3362.7419,560.4569833
133,22:00,22:10,0.3859,3309.3934,0,551.5655667,0,3309.3934,551.5655667
134,22:10,22:20,0.4368,3412.9563,0,568.82605,0,3412.9563,568.82605
135,22:20,22:30,0.4198,3381.9313,0,563.6552167,0,3381.9313,563.6552167
136,22:30,22:40,0.4186,3386.5592,0,564.4265333,0,3386.5592,564.4265333
137,22:40,22:50,0.4241,3400.4846,0,566.7474333,0,3400.4846,566.7474333
138,22:50,23:00,0.4237,3399.2426,0,566.5404333,0,3399.2426,566.5404333
139,23:00,23:10,0.4248,3406.9809,0,567.83015,0,3406.9809,567.83015
140,23:10,23:20,0.424,3416.1518,0,569.3586333,0,3416.1518,569.3586333
141,23:20,23:30,0.422,3421.9811,0,570.3301833,0,3421.9811,570.3301833
142,23:30,23:40,0.424,3429.6923,0,571.6153833,0,3429.6923,571.6153833
143,23:40,23:50,0.4271,3439.061,0,573.1768333,0,3439.061,573.1768333
144,23:50,24:00,0.4276,3444.7259,0,574.1209833,0,3444.7259,574.1209833
