forecast_id,release_time,horizon_hour,target_time,pv_forecast_kw
1,2025-01-01 00:00:00,1,2025-01-01 01:00:00,0
2,2025-01-01 00:00:00,2,2025-01-01 02:00:00,0
3,2025-01-01 00:00:00,3,2025-01-01 03:00:00,0
4,2025-01-01 00:00:00,4,2025-01-01 04:00:00,0
5,2025-01-01 00:00:00,5,2025-01-01 05:00:00,0
6,2025-01-01 00:00:00,6,2025-01-01 06:00:00,0
7,2025-01-01 00:00:00,7,2025-01-01 07:00:00,3.1173
8,2025-01-01 00:00:00,8,2025-01-01 08:00:00,1603.3305
9,2025-01-01 00:00:00,9,2025-01-01 09:00:00,3409.0929
10,2025-01-01 00:00:00,10,2025-01-01 10:00:00,4871.2875
11,2025-01-01 00:00:00,11,2025-01-01 11:00:00,5785.111
12,2025-01-01 00:00:00,12,2025-01-01 12:00:00,5737.1717
13,2025-01-01 00:00:00,13,2025-01-01 13:00:00,6047.3964
14,2025-01-01 00:00:00,14,2025-01-01 14:00:00,4687.1165
15,2025-01-01 00:00:00,15,2025-01-01 15:00:00,3572.6529
16,2025-01-01 00:00:00,16,2025-01-01 16:00:00,1629.9964
17,2025-01-01 00:00:00,17,2025-01-01 17:00:00,3.1956
18,2025-01-01 00:00:00,18,2025-01-01 18:00:00,0
19,2025-01-01 00:00:00,19,2025-01-01 19:00:00,0
20,2025-01-01 00:00:00,20,2025-01-01 20:00:00,0
21,2025-01-01 00:00:00,21,2025-01-01 21:00:00,0
22,2025-01-01 00:00:00,22,2025-01-01 22:00:00,0
23,2025-01-01 00:00:00,23,2025-01-01 23:00:00,0
24,2025-01-01 00:00:00,24,2025-01-02 00:00:00,0
25,2025-01-01 06:00:00,1,2025-01-01 07:00:00,3.0919
26,2025-01-01 06:00:00,2,2025-01-01 08:00:00,1588.7839
27,2025-01-01 06:00:00,3,2025-01-01 09:00:00,3297.9893
28,2025-01-01 06:00:00,4,2025-01-01 10:00:00,4692.2274
29,2025-01-01 06:00:00,5,2025-01-01 11:00:00,5220.3894
30,2025-01-01 06:00:00,6,2025-01-01 12:00:00,5078.6992
31,2025-01-01 06:00:00,7,2025-01-01 13:00:00,5314.2003
32,2025-01-01 06:00:00,8,2025-01-01 14:00:00,4833.7142
33,2025-01-01 06:00:00,9,2025-01-01 15:00:00,3588.0375
34,2025-01-01 06:00:00,10,2025-01-01 16:00:00,1660.0369
35,2025-01-01 06:00:00,11,2025-01-01 17:00:00,3.0359
36,2025-01-01 06:00:00,12,2025-01-01 18:00:00,0
37,2025-01-01 06:00:00,13,2025-01-01 19:00:00,0
38,2025-01-01 06:00:00,14,2025-01-01 20:00:00,0
39,2025-01-01 06:00:00,15,2025-01-01 21:00:00,0
40,2025-01-01 06:00:00,16,2025-01-01 22:00:00,0
41,2025-01-01 06:00:00,17,2025-01-01 23:00:00,0
42,2025-01-01 06:00:00,18,2025-01-02 00:00:00,0
43,2025-01-01 06:00:00,19,2025-01-02 01:00:00,0
44,2025-01-01 06:00:00,20,2025-01-02 02:00:00,0
45,2025-01-01 06:00:00,21,2025-01-02 03:00:00,0
46,2025-01-01 06:00:00,22,2025-01-02 04:00:00,0
47,2025-01-01 06:00:00,23,2025-01-02 05:00:00,0
48,2025-01-01 06:00:00,24,2025-01-02 06:00:00,0
49,2025-01-01 12:00:00,1,2025-01-01 13:00:00,5330.4298
50,2025-01-01 12:00:00,2,2025-01-01 14:00:00,4549.2579
51,2025-01-01 12:00:00,3,2025-01-01 15:00:00,3365.5312
52,2025-01-01 12:00:00,4,2025-01-01 16:00:00,1504.2156
53,2025-01-01 12:00:00,5,2025-01-01 17:00:00,2.8622
54,2025-01-01 12:00:00,6,2025-01-01 18:00:00,0
55,2025-01-01 12:00:00,7,2025-01-01 19:00:00,0
56,2025-01-01 12:00:00,8,2025-01-01 20:00:00,0
57,2025-01-01 12:00:00,9,2025-01-01 21:00:00,0
58,2025-01-01 12:00:00,10,2025-01-01 22:00:00,0
59,2025-01-01 12:00:00,11,2025-01-01 23:00:00,0
60,2025-01-01 12:00:00,12,2025-01-02 00:00:00,0
61,2025-01-01 12:00:00,13,2025-01-02 01:00:00,0
62,2025-01-01 12:00:00,14,2025-01-02 02:00:00,0
63,2025-01-01 12:00:00,15,2025-01-02 03:00:00,0
64,2025-01-01 12:00:00,16,2025-01-02 04:00:00,0
65,2025-01-01 12:00:00,17,2025-01-02 05:00:00,0
66,2025-01-01 12:00:00,18,2025-01-02 06:00:00,0
67,2025-01-01 12:00:00,19,2025-01-02 07:00:00,6.8708
68,2025-01-01 12:00:00,20,2025-01-02 08:00:00,1827.9739
69,2025-01-01 12:00:00,21,2025-01-02 09:00:00,3207.1033
70,2025-01-01 12:00:00,22,2025-01-02 10:00:00,4565.1144
71,2025-01-01 12:00:00,23,2025-01-02 11:00:00,6040.8
72,2025-01-01 12:00:00,24,2025-01-02 12:00:00,6339.1125
73,2025-01-01 18:00:00,1,2025-01-01 19:00:00,0
74,2025-01-01 18:00:00,2,2025-01-01 20:00:00,0
75,2025-01-01 18:00:00,3,2025-01-01 21:00:00,0
76,2025-01-01 18:00:00,4,2025-01-01 22:00:00,0
77,2025-01-01 18:00:00,5,2025-01-01 23:00:00,0
78,2025-01-01 18:00:00,6,2025-01-02 00:00:00,0
79,2025-01-01 18:00:00,7,2025-01-02 01:00:00,0
80,2025-01-01 18:00:00,8,2025-01-02 02:00:00,0
81,2025-01-01 18:00:00,9,2025-01-02 03:00:00,0
82,2025-01-01 18:00:00,10,2025-01-02 04:00:00,0
83,2025-01-01 18:00:00,11,2025-01-02 05:00:00,0
84,2025-01-01 18:00:00,12,2025-01-02 06:00:00,0
85,2025-01-01 18:00:00,13,2025-01-02 07:00:00,5.5153
86,2025-01-01 18:00:00,14,2025-01-02 08:00:00,1227.5446
87,2025-01-01 18:00:00,15,2025-01-02 09:00:00,2350.4812
88,2025-01-01 18:00:00,16,2025-01-02 10:00:00,3845.2786
89,2025-01-01 18:00:00,17,2025-01-02 11:00:00,4815.3247
90,2025-01-01 18:00:00,18,2025-01-02 12:00:00,4086.8116
91,2025-01-01 18:00:00,19,2025-01-02 13:00:00,4228.7374
92,2025-01-01 18:00:00,20,2025-01-02 14:00:00,3799.2978
93,2025-01-01 18:00:00,21,2025-01-02 15:00:00,2472.4285
94,2025-01-01 18:00:00,22,2025-01-02 16:00:00,1182.0118
95,2025-01-01 18:00:00,23,2025-01-02 17:00:00,5.091
96,2025-01-01 18:00:00,24,2025-01-02 18:00:00,0
97,2025-01-02 00:00:00,1,2025-01-02 01:00:00,0
98,2025-01-02 00:00:00,2,2025-01-02 02:00:00,0
99,2025-01-02 00:00:00,3,2025-01-02 03:00:00,0
100,2025-01-02 00:00:00,4,2025-01-02 04:00:00,0
101,2025-01-02 00:00:00,5,2025-01-02 05:00:00,0
102,2025-01-02 00:00:00,6,2025-01-02 06:00:00,0
103,2025-01-02 00:00:00,7,2025-01-02 07:00:00,6.3604
104,2025-01-02 00:00:00,8,2025-01-02 08:00:00,1424.7328
105,2025-01-02 00:00:00,9,2025-01-02 09:00:00,2844.2052
106,2025-01-02 00:00:00,10,2025-01-02 10:00:00,3600.2106
107,2025-01-02 00:00:00,11,2025-01-02 11:00:00,4746.2786
108,2025-01-02 00:00:00,12,2025-01-02 12:00:00,4915.505
109,2025-01-02 00:00:00,13,2025-01-02 13:00:00,5251.6498
110,2025-01-02 00:00:00,14,2025-01-02 14:00:00,4965.3525
111,2025-01-02 00:00:00,15,2025-01-02 15:00:00,3588.0375
112,2025-01-02 00:00:00,16,2025-01-02 16:00:00,1839.6
113,2025-01-02 00:00:00,17,2025-01-02 17:00:00,8.0706
114,2025-01-02 00:00:00,18,2025-01-02 18:00:00,0
115,2025-01-02 00:00:00,19,2025-01-02 19:00:00,0
116,2025-01-02 00:00:00,20,2025-01-02 20:00:00,0
117,2025-01-02 00:00:00,21,2025-01-02 21:00:00,0
118,2025-01-02 00:00:00,22,2025-01-02 22:00:00,0
119,2025-01-02 00:00:00,23,2025-01-02 23:00:00,0
120,2025-01-02 00:00:00,24,2025-01-03 00:00:00,0
121,2025-01-02 06:00:00,1,2025-01-02 07:00:00,6.5122
122,2025-01-02 06:00:00,2,2025-01-02 08:00:00,1453.1843
123,2025-01-02 06:00:00,3,2025-01-02 09:00:00,3099.4257
124,2025-01-02 06:00:00,4,2025-01-02 10:00:00,4269.3966
125,2025-01-02 06:00:00,5,2025-01-02 11:00:00,5146.0167
126,2025-01-02 06:00:00,6,2025-01-02 12:00:00,5556.849
127,2025-01-02 06:00:00,7,2025-01-02 13:00:00,5946.4073
128,2025-01-02 06:00:00,8,2025-01-02 14:00:00,5359.9875
129,2025-01-02 06:00:00,9,2025-01-02 15:00:00,3342.8554
130,2025-01-02 06:00:00,10,2025-01-02 16:00:00,1758.32
131,2025-01-02 06:00:00,11,2025-01-02 17:00:00,6.5192
132,2025-01-02 06:00:00,12,2025-01-02 18:00:00,0
133,2025-01-02 06:00:00,13,2025-01-02 19:00:00,0
134,2025-01-02 06:00:00,14,2025-01-02 20:00:00,0
135,2025-01-02 06:00:00,15,2025-01-02 21:00:00,0
136,2025-01-02 06:00:00,16,2025-01-02 22:00:00,0
137,2025-01-02 06:00:00,17,2025-01-02 23:00:00,0
138,2025-01-02 06:00:00,18,2025-01-03 00:00:00,0
139,2025-01-02 06:00:00,19,2025-01-03 01:00:00,0
140,2025-01-02 06:00:00,20,2025-01-03 02:00:00,0
141,2025-01-02 06:00:00,21,2025-01-03 03:00:00,0
142,2025-01-02 06:00:00,22,2025-01-03 04:00:00,0
143,2025-01-02 06:00:00,23,2025-01-03 05:00:00,0
144,2025-01-02 06:00:00,24,2025-01-03 06:00:00,0
145,2025-01-02 12:00:00,1,2025-01-02 13:00:00,5392.7373
146,2025-01-02 12:00:00,2,2025-01-02 14:00:00,4793.417
147,2025-01-02 12:00:00,3,2025-01-02 15:00:00,3115.7896
148,2025-01-02 12:00:00,4,2025-01-02 16:00:00,1653.8059
149,2025-01-02 12:00:00,5,2025-01-02 17:00:00,6.4763
150,2025-01-02 12:00:00,6,2025-01-02 18:00:00,0
151,2025-01-02 12:00:00,7,2025-01-02 19:00:00,0
152,2025-01-02 12:00:00,8,2025-01-02 20:00:00,0
153,2025-01-02 12:00:00,9,2025-01-02 21:00:00,0
154,2025-01-02 12:00:00,10,2025-01-02 22:00:00,0
155,2025-01-02 12:00:00,11,2025-01-02 23:00:00,0
156,2025-01-02 12:00:00,12,2025-01-03 00:00:00,0
157,2025-01-02 12:00:00,13,2025-01-03 01:00:00,0
158,2025-01-02 12:00:00,14,2025-01-03 02:00:00,0
159,2025-01-02 12:00:00,15,2025-01-03 03:00:00,0
160,2025-01-02 12:00:00,16,2025-01-03 04:00:00,0
161,2025-01-02 12:00:00,17,2025-01-03 05:00:00,0
162,2025-01-02 12:00:00,18,2025-01-03 06:00:00,0
163,2025-01-02 12:00:00,19,2025-01-03 07:00:00,11.4514
164,2025-01-02 12:00:00,20,2025-01-03 08:00:00,1377.1773
165,2025-01-02 12:00:00,21,2025-01-03 09:00:00,3653.775
166,2025-01-02 12:00:00,22,2025-01-03 10:00:00,4903.35
167,2025-01-02 12:00:00,23,2025-01-03 11:00:00,5017.1291
168,2025-01-02 12:00:00,24,2025-01-03 12:00:00,6339.1125
169,2025-01-02 18:00:00,1,2025-01-02 19:00:00,0
170,2025-01-02 18:00:00,2,2025-01-02 20:00:00,0
171,2025-01-02 18:00:00,3,2025-01-02 21:00:00,0
172,2025-01-02 18:00:00,4,2025-01-02 22:00:00,0
173,2025-01-02 18:00:00,5,2025-01-02 23:00:00,0
174,2025-01-02 18:00:00,6,2025-01-03 00:00:00,0
175,2025-01-02 18:00:00,7,2025-01-03 01:00:00,0
176,2025-01-02 18:00:00,8,2025-01-03 02:00:00,0
177,2025-01-02 18:00:00,9,2025-01-03 03:00:00,0
178,2025-01-02 18:00:00,10,2025-01-03 04:00:00,0
