slot,interval_start,interval_end,price_yuan_per_kwh,load_kw,pv_forecast_kw,grid_purchase_kw,charge_kw,discharge_kw,spill_kw,storage_start_kwh,storage_end_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,spill_kwh,case_id
1,00:00,00:10,0.4248,3439.8466,0,8439.8466,5000,0,0,6000,6666.6667,1406.6411,833.3333333,0,0,efficiency_0.8
2,00:10,00:20,0.4245,3437.9792,0,8437.9792,5000,0,0,6666.6667,7333.3333,1406.329867,833.3333333,0,0,efficiency_0.8
3,00:20,00:30,0.4269,3444.3031,0,8444.3031,5000,0,0,7333.3333,8000,1407.38385,833.3333333,0,0,efficiency_0.8
4,00:30,00:40,0.4272,3454.4437,0,8454.4437,5000,0,0,8000,8666.6667,1409.07395,833.3333333,0,0,efficiency_0.8
5,00:40,00:50,0.4271,3458.8273,0,8458.8273,5000,0,0,8666.6667,9333.3333,1409.80455,833.3333333,0,0,efficiency_0.8
6,00:50,01:00,0.4285,3459.8401,0,4459.8401,1000,0,0,9333.3333,9466.6667,743.3066833,166.6666667,0,0,efficiency_0.8
7,01:00,01:10,0.4311,3467.1582,0,3467.1582,0,0,0,9466.6667,9466.6667,577.8597,0,0,0,efficiency_0.8
8,01:10,01:20,0.4302,3467.9632,0,3467.9632,0,0,0,9466.6667,9466.6667,577.9938667,0,0,0,efficiency_0.8
9,01:20,01:30,0.4279,3466.9683,0,8466.9683,5000,0,0,9466.6667,10133.333,1411.161383,833.3333333,0,0,efficiency_0.8
10,01:30,01:40,0.4312,3482.4927,0,3482.4927,0,0,0,10133.333,10133.333,580.41545,0,0,0,efficiency_0.8
11,01:40,01:50,0.4333,3495.0841,0,3495.0841,0,0,0,10133.333,10133.333,582.5140167,0,0,0,efficiency_0.8
12,01:50,02:00,0.4311,3498.4443,0,3498.4443,0,0,0,10133.333,10133.333,583.07405,0,0,0,efficiency_0.8
13,02:00,02:10,0.4293,3505.2295,0,3505.2295,0,0,0,10133.333,10133.333,584.2049167,0,0,0,efficiency_0.8
14,02:10,02:20,0.4324,3512.6387,0,3512.6387,0,0,0,10133.333,10133.333,585.4397833,0,0,0,efficiency_0.8
15,02:20,02:30,0.4367,3516.8685,0,3516.8685,0,0,0,10133.333,10133.333,586.14475,0,0,0,efficiency_0.8
16,02:30,02:40,0.4348,3517.9246,0,3517.9246,0,0,0,10133.333,10133.333,586.3207667,0,0,0,efficiency_0.8
17,02:40,02:50,0.4335,3518.5518,0,3518.5518,0,0,0,10133.333,10133.333,586.4253,0,0,0,efficiency_0.8
18,02:50,03:00,0.4357,3521.0976,0,3521.0976,0,0,0,10133.333,10133.333,586.8496,0,0,0,efficiency_0.8
19,03:00,03:10,0.4374,3526.9261,0,3526.9261,0,0,0,10133.333,10133.333,587.8210167,0,0,0,efficiency_0.8
20,03:10,03:20,0.4371,3537.2854,0,3537.2854,0,0,0,10133.333,10133.333,589.5475667,0,0,0,efficiency_0.8
21,03:20,03:30,0.4356,3544.8808,0,3544.8808,0,0,0,10133.333,10133.333,590.8134667,0,0,0,efficiency_0.8
22,03:30,03:40,0.4353,3541.2787,0,3541.2787,0,0,0,10133.333,10133.333,590.2131167,0,0,0,efficiency_0.8
23,03:40,03:50,0.436,3546.3976,0,3546.3976,0,0,0,10133.333,10133.333,591.0662667,0,0,0,efficiency_0.8
