metric,value
solver,PuLP CBC
solver_status,Optimal
runtime_seconds,0.1585049000059371
optimal_cost_yuan,35126.948591235
total_grid_energy_kwh,59482.699
total_charge_energy_kwh,20740.666126666663
total_discharge_energy_kwh,16799.939566666668
total_spill_energy_kwh,0.0
minimum_storage_energy_kwh,1200.0
maximum_storage_energy_kwh,10800.0
minimum_soc_percent,10.0
maximum_soc_percent,90.0
terminal_storage_energy_kwh,6000.0
charge_period_count,45
discharge_period_count,37
baseline_grid_energy_kwh,61789.9354
baseline_cost_yuan,48052.04659084667
baseline_spill_energy_kwh,6247.962966666666
cost_saving_yuan,12925.097999611673
cost_saving_percent,26.89812175882171
maximum_power_balance_residual_kw,4.0000000012696546e-05
maximum_energy_transition_residual_kwh,0.00047000000085972715
objective_recalculation_error_yuan,7.275957614183426e-12
