date,solver,status,runtime_seconds,initial_energy_kwh,final_energy_kwh,terminal_value_rates_yuan_per_kwh,terminal_value_breakpoints_kwh,terminal_uncertainty_reserve_kwh,terminal_value_credit_yuan,planned_purchase_cost_yuan,expected_emergency_cost_yuan,expected_total_cost_yuan,optimization_objective_yuan,risk_method,cvar_alpha,risk_weight,var_cost_yuan,cvar_cost_yuan,lambda_cvar_term_yuan,planned_purchase_energy_kwh,expected_emergency_energy_kwh,expected_planned_grid_used_energy_kwh,expected_unused_planned_grid_energy_kwh,charge_energy_kwh,discharge_energy_kwh,expected_spill_energy_kwh,minimum_energy_kwh,maximum_energy_kwh,maximum_power_balance_residual_kw,maximum_soc_residual_kwh,planned_final_energy_kwh,actual_initial_energy_kwh,actual_final_energy_kwh,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,realized_planned_grid_used_energy_kwh,realized_unused_planned_grid_energy_kwh,realized_pv_spill_energy_kwh,actual_charge_energy_kwh,actual_discharge_energy_kwh,battery_clipping_energy_kwh,battery_clipping_intervals,scenario_emergency_interval_count
2025-02-01,PuLP HiGHS,Optimal,2.7307991,6000,7189.18008607,1.124955|0.726615|0.384264,3506.12668|7153.06334|10800,3506.12668024,5244.20762069,26050.7928139,1301.18954135,27351.9823552,22217.5581931,CVaR,0.9,0.05,1969.00912837,2195.66917056,109.783458528,49129.0205726,360.517669205,45769.327558,3359.69301454,21582.4258025,16444.0078939,2656.7404635,1200,10800,9.09494701773e-13,4.54747350886e-13,7153.06334012,6000,7189.18008607,149.50264694,762.842908743,26813.6357226,43484.6316139,5644.38895868,4353.84146514,20167.6567626,15265.5399003,2593.23703345,30,1002
2025-02-02,PuLP HiGHS,Optimal,0.959643199996,7189.18008607,7055.40240761,1.124955|0.726615|0.384264,3310.804815|7055.402408|10800,3310.80481523,5095.44121051,59335.7436832,1831.68707468,61167.4307579,56218.5436533,CVaR,0.9,0.05,2809.49467047,2931.08211901,146.554105951,93550.0567759,474.602065606,88898.71941,4651.33736592,24684.6914684,20115,1089.33746927,1200,10800,4.54747350886e-13,9.09494701773e-13,7055.40240761,7189.18008607,7055.40240761,62.7857538132,227.573791389,59563.3174746,82425.8189017,11124.2378741,59.1740666667,22071.3292079,17998.176569,4730.18569151,27,1146
2025-02-03,PuLP HiGHS,Optimal,0.965041000003,7055.40240761,7055.40235185,1.124955|0.726615|0.384264,3310.804704|7055.402352|10800,3310.80470371,5095.44112557,58124.3961617,1741.9931277,59866.3892894,54947.1300386,CVaR,0.9,0.05,3221.59103304,3523.63749595,176.181874798,92096.2213861,445.575423922,87539.7400289,4556.48135724,24833.3332714,20115,1227.23432819,1200,10800,2.27373675443e-13,1.81898940355e-12,7055.40235185,7055.40240761,7055.40235185,147.577480021,559.128605035,58683.5247667,84372.8044999,7723.41688624,0,22649.8185794,18346.3530995,3952.16159252,25,1141
2025-02-04,PuLP HiGHS,Optimal,0.933655500005,7055.40235185,7079.21568092,1.124955|0.726615|0.384264,3315.626909|7057.813454|10800,3315.62690857,5099.11394585,58300.1929774,1872.53592151,60172.7288989,55249.7739645,CVaR,0.9,0.05,3403.67879507,3523.1802301,176.159011505,92359.8285544,487.714416586,87667.3950161,4692.43353825,24669.0850518,19979.7888997,1225.57688903,1200,10800,4.54747350886e-13,9.09494701773e-13,7057.81345429,7055.40235185,7079.21568092,458.531029032,1700.89988276,60001.0928601,85275.7639485,7084.06460584,0,23778.9422706,19239.511243,1630.42043786,22,1132
2025-02-05,PuLP HiGHS,Optimal,0.971062100012,7079.21568092,6873.5491149,1.124955|0.726615|0.384264,2947.09823|6873.549115|10800,2947.0982298,4818.42499898,57130.1823185,1845.1715906,58975.3539091,54376.5595015,CVaR,0.9,0.05,3614.85037125,4392.61182818,219.630591409,90678.4964917,486.527124267,86173.4953453,4505.00114638,24148.2899922,19745.2148031,1131.33905611,1200,10800,9.09494701773e-13,9.09494701773e-13,6873.5491149,7079.21568092,6873.5491149,317.165328602,1242.06932899,58372.2516475,84657.8278343,6020.66865741,2.0525,23208.4925736,18983.978894,1701.03332763,21,1154
2025-02-06,PuLP HiGHS,Optimal,4.4655303,6873.5491149,7092.43511486,1.124955|0.726615|0.384264,3337.542418|7068.771209|10800,3337.54241809,5115.80583888,58778.4179729,1824.69682891,60603.1148018,55649.2317304,CVaR,0.9,0.05,3168.63150421,3238.45535115,161.922767557,92767.7150043,475.55473978,88226.9428249,4540.77217937,25050.2467713,20115,1149.00451547,1200,10800,4.54747350886e-13,9.09494701773e-13,7068.77120905,6873.5491149,7092.43511486,102.149351953,359.257426103,59137.675399,84745.6836493,8022.03135495,1.40081666667,23044.0924631,18468.7174952,3652.43681295,26,1185
2025-02-07,PuLP HiGHS,Optimal,3.68824259999,7092.43511486,7058.30191845,1.124955|0.726615|0.384264,3288.933463|7044.466731|10800,3288.93346291,5078.78294969,24670.8128297,1291.70358668,25962.5164164,20992.4830771,CVaR,0.9,0.05,2087.00167275,2174.99220737,108.749610369,46342.1779294,352.250824534,43032.3271717,3309.85075776,20178.4646925,16387.727946,2792.26871586,1200,10800,4.54747350886e-13,1.81898940355e-12,7044.46673145,7092.43511486,7058.30191845,112.382315504,648.299348342,25319.1121781,40673.6358318,5668.54209762,5389.76938886,19059.415624,15468.8465322,2037.93048218,28,1003
2025-02-08,PuLP HiGHS,Optimal,3.2481652,7058.30191845,7044.46668684,1.124955|0.726615|0.384264,3288.933374|7044.466687|10800,3288.93337368,5078.78288173,22301.0882735,1349.38228474,23650.4705583,18702.5252066,CVaR,0.9,0.05,2567.15610128,2616.75060205,130.837530103,41797.4999443,383.987228782,38826.088777,2971.41116724,19568.2342347,15862.7214386,3529.29870119,1200,10800,4.54747350886e-13,9.09494701773e-13,7044.46668684,7058.30191845,7044.46668684,213.529052578,913.650913053,23214.7391866,38945.1506112,2852.34933303,4072.77822067,18532.5812365,15023.84251,1874.53192676,23,1020
2025-02-09,PuLP HiGHS,Optimal,1.1156969,7044.46668684,7044.46672119,1.124955|0.726615|0.384264,3288.933442|7044.466721|10800,3288.93344238,5078.78293405,54596.7491818,1800.82065054,56397.5698323,51508.34276,CVaR,0.9,0.05,3640.65361971,3791.11723474,189.555861737,87002.0528239,479.450996913,82571.898823,4430.15400084,24523.7509507,19864.2382392,1398.49138006,1200,10800,4.54747350886e-13,9.09494701773e-13,7044.46672119,7044.46668684,7044.46672119,953.477042687,3188.79537998,57785.5445617,83071.1618587,3930.89096522,0,23522.2258094,19053.0028747,1812.7605059,22,1161
2025-02-10,PuLP HiGHS,Optimal,1.0462956,7044.46672119,6903.82552941,1.124955|0.726615|0.384264,2997.494005|6898.747002|10800,2997.494005,4856.80881517,55372.452344,1789.63852195,57162.0908659,52494.8267456,CVaR,0.9,0.05,3123.75294765,3790.89389635,189.544694817,88016.7250752,485.519829556,83716.7136749,4300.01140036,24351.3949522,19855.7776581,1345.84130704,1200,10800,9.09494701773e-13,4.54747350886e-13,6898.7470025,7044.46672119,6903.82552941,175.23538231,615.050881569,55987.5032256,78391.8767795,9624.84829574,463.470422094,20545.164363,16768.1602066,6893.84804073,30,1171
2025-02-11,PuLP HiGHS,Optimal,4.59505459999,6903.82552941,6962.26373559,1.124955|0.726615|0.384264,3124.527471|6962.263736|10800,3124.52747118,4953.56353711,54002.0216579,1805.08862901,55807.1102869,51051.258177,CVaR,0.9,0.05,3945.2724735,3954.22854336,197.711427168,86322.9684466,480.685522323,82013.4527472,4309.5156994,24473.06057,19770.5846761,1436.06274309,1200,10800,4.54747350886e-13,9.09494701773e-13,6962.26373559,6903.82552941,6962.26373559,192.973846535,1011.12640912,55013.148067,79499.3014957,6823.66695093,162.0573,22405.4027542,18095.7818454,3742.46064644,27,1127
2025-02-12,PuLP HiGHS,Optimal,4.63582510001,6962.26373559,7010.44572894,1.124955|0.726615|0.384264,3220.891458|7010.445729|10800,3220.89145788,5026.95892667,53696.4189925,1813.81962165,55510.2386142,50672.3245817,CVaR,0.9,0.05,3643.35957932,3780.89788437,189.044894218,85943.8406798,488.803477111,81751.9238896,4191.91679019,24328.2792507,19662.5423991,1491.17239407,1200,10800,4.54747350886e-13,9.09494701773e-13,7010.44572894,6962.26373559,7010.44572894,267.710413686,1107.57533649,54803.994329,79443.8772036,6499.96347613,163.384283333,22305.8074034,18024.3402027,3660.6740437,27,1180
