date,model,daily_mae
2025-02-01,7-day same-slot mean,63.8709540673
2025-02-01,DLinear,115.6187496749
2025-02-01,Last Week,89.3480694444
2025-02-01,PhaseStructuralFusion,73.3667061458
2025-02-01,SSA best config,224.7416746950
2025-02-01,Yesterday,101.2013909722
2025-02-02,7-day same-slot mean,90.8993412697
2025-02-02,DLinear,130.3287426692
2025-02-02,Last Week,196.9348951389
2025-02-02,PhaseStructuralFusion,124.6314574306
2025-02-02,SSA best config,220.4487154345
2025-02-02,Yesterday,70.2084909722
2025-02-03,7-day same-slot mean,76.2195826388
2025-02-03,DLinear,146.2862688285
2025-02-03,Last Week,105.2959923611
2025-02-03,PhaseStructuralFusion,89.0645570486
2025-02-03,SSA best config,172.2901923697
2025-02-03,Yesterday,96.8608388889
2025-02-04,7-day same-slot mean,100.4061418651
2025-02-04,DLinear,146.3438169615
2025-02-04,Last Week,85.0218305556
2025-02-04,PhaseStructuralFusion,92.3270867361
2025-02-04,SSA best config,185.5569310226
2025-02-04,Yesterday,125.5461694444
2025-02-05,7-day same-slot mean,85.9580661704
2025-02-05,DLinear,165.4911380426
2025-02-05,Last Week,141.6384666667
2025-02-05,PhaseStructuralFusion,101.5329117708
2025-02-05,SSA best config,217.0819433374
2025-02-05,Yesterday,111.6167993056
2025-02-06,7-day same-slot mean,63.8639830358
2025-02-06,DLinear,148.8581245931
2025-02-06,Last Week,91.0326937500
2025-02-06,PhaseStructuralFusion,71.7684426042
2025-02-06,SSA best config,200.7638209034
2025-02-06,Yesterday,85.9835152778
2025-02-07,7-day same-slot mean,157.9670032737
2025-02-07,DLinear,188.4268475533
2025-02-07,Last Week,160.9580097222
2025-02-07,PhaseStructuralFusion,162.0959900347
2025-02-07,SSA best config,303.5872308878
2025-02-07,Yesterday,173.9426326389
2025-02-08,7-day same-slot mean,116.7470762897
2025-02-08,DLinear,161.0037047738
2025-02-08,Last Week,112.7994673611
2025-02-08,PhaseStructuralFusion,133.9613796875
2025-02-08,SSA best config,223.4792940347
2025-02-08,Yesterday,177.7457152778
2025-02-09,7-day same-slot mean,108.6302950394
2025-02-09,DLinear,191.2637069447
2025-02-09,Last Week,153.9869097222
2025-02-09,PhaseStructuralFusion,141.7799507639
2025-02-09,SSA best config,199.3213966610
2025-02-09,Yesterday,157.1497902778
2025-02-10,7-day same-slot mean,199.7376416664
2025-02-10,DLinear,234.4460716564
2025-02-10,Last Week,205.1741611111
2025-02-10,PhaseStructuralFusion,212.3396739583
2025-02-10,SSA best config,373.2113857894
2025-02-10,Yesterday,231.3632236111
2025-02-11,7-day same-slot mean,132.5186129959
2025-02-11,DLinear,172.2419217061
2025-02-11,Last Week,243.2616451389
2025-02-11,PhaseStructuralFusion,96.3477717361
2025-02-11,SSA best config,163.0019349097
2025-02-11,Yesterday,101.8810895833
2025-02-12,7-day same-slot mean,113.9240708335
2025-02-12,DLinear,165.7950731380
2025-02-12,Last Week,218.3355777778
2025-02-12,PhaseStructuralFusion,131.3876938889
2025-02-12,SSA best config,176.1405482175
2025-02-12,Yesterday,89.8634472222
2025-02-13,7-day same-slot mean,226.6863667656
2025-02-13,DLinear,286.6554177072
2025-02-13,Last Week,333.3208006944
2025-02-13,PhaseStructuralFusion,238.9955425000
2025-02-13,SSA best config,264.2722421949
2025-02-13,Yesterday,164.9232159722
2025-02-14,7-day same-slot mean,108.7420321428
2025-02-14,DLinear,192.8447199262
2025-02-14,Last Week,158.2840388889
2025-02-14,PhaseStructuralFusion,125.3240851389
2025-02-14,SSA best config,168.9897009919
2025-02-14,Yesterday,195.0854458333
2025-02-15,7-day same-slot mean,83.0294008928
2025-02-15,DLinear,161.7307913790
2025-02-15,Last Week,154.6183395833
2025-02-15,PhaseStructuralFusion,74.2469567361
2025-02-15,SSA best config,208.5529060363
2025-02-15,Yesterday,55.4767368056
2025-02-16,7-day same-slot mean,101.8202692458
2025-02-16,DLinear,197.9992500274
2025-02-16,Last Week,163.0905451389
2025-02-16,PhaseStructuralFusion,82.5572352431
2025-02-16,SSA best config,202.7542226808
2025-02-16,Yesterday,98.1057347222
2025-02-17,7-day same-slot mean,131.5957282737
2025-02-17,DLinear,218.7004684953
2025-02-17,Last Week,136.3875729167
2025-02-17,PhaseStructuralFusion,151.8542632292
2025-02-17,SSA best config,309.2803530901
2025-02-17,Yesterday,181.5177930556
2025-02-18,7-day same-slot mean,94.2878624999
2025-02-18,DLinear,197.9046558482
2025-02-18,Last Week,143.2897263889
2025-02-18,PhaseStructuralFusion,95.0220261111
2025-02-18,SSA best config,147.8143152278
2025-02-18,Yesterday,94.5926805556
2025-02-19,7-day same-slot mean,109.4539495042
2025-02-19,DLinear,187.8629156335
2025-02-19,Last Week,129.2762631944
2025-02-19,PhaseStructuralFusion,101.0089431944
2025-02-19,SSA best config,147.7008308554
2025-02-19,Yesterday,118.5847256944
2025-02-20,7-day same-slot mean,109.6564920637
2025-02-20,DLinear,247.0677200547
2025-02-20,Last Week,140.3942430556
2025-02-20,PhaseStructuralFusion,131.9689369444
2025-02-20,SSA best config,210.5541756945
2025-02-20,Yesterday,149.6904527778
2025-02-21,7-day same-slot mean,92.4515749997
2025-02-21,DLinear,215.1667042533
2025-02-21,Last Week,174.3979138889
2025-02-21,PhaseStructuralFusion,98.6108270833
2025-02-21,SSA best config,154.7784642966
2025-02-21,Yesterday,77.0740972222
2025-02-22,7-day same-slot mean,72.6495616074
2025-02-22,DLinear,189.4273904121
2025-02-22,Last Week,98.4703069444
2025-02-22,PhaseStructuralFusion,78.5779187847
2025-02-22,SSA best config,155.9787675388
2025-02-22,Yesterday,118.6657451389
2025-02-23,7-day same-slot mean,104.6438778769
2025-02-23,DLinear,238.0947408583
2025-02-23,Last Week,183.5089944444
2025-02-23,PhaseStructuralFusion,142.2334040972
2025-02-23,SSA best config,231.1939507557
2025-02-23,Yesterday,120.3923291667
2025-02-24,7-day same-slot mean,132.9112668651
2025-02-24,DLinear,263.1257851101
2025-02-24,Last Week,118.6143826389
2025-02-24,PhaseStructuralFusion,131.5766204167
2025-02-24,SSA best config,285.2409691744
2025-02-24,Yesterday,167.0870631944
2025-02-25,7-day same-slot mean,228.9709839283
2025-02-25,DLinear,339.1171722665
2025-02-25,Last Week,251.5417041667
2025-02-25,PhaseStructuralFusion,178.4158541319
2025-02-25,SSA best config,261.9924397689
2025-02-25,Yesterday,121.8997298611
2025-02-26,7-day same-slot mean,113.0313652781
2025-02-26,DLinear,251.6126194496
2025-02-26,Last Week,158.6933687500
2025-02-26,PhaseStructuralFusion,105.1029793403
2025-02-26,SSA best config,142.2718510473
2025-02-26,Yesterday,144.8783125000
2025-02-27,7-day same-slot mean,144.9681603177
2025-02-27,DLinear,275.8107510385
2025-02-27,Last Week,189.0610486111
2025-02-27,PhaseStructuralFusion,162.8447748264
2025-02-27,SSA best config,262.1273589699
2025-02-27,Yesterday,187.8209256944
2025-02-28,7-day same-slot mean,98.2713398810
2025-02-28,DLinear,249.4890873197
2025-02-28,Last Week,135.3004472222
2025-02-28,PhaseStructuralFusion,148.0405785417
2025-02-28,SSA best config,194.5320800944
2025-02-28,Yesterday,179.1105291667
2025-03-01,7-day same-slot mean,167.3099306548
2025-03-01,DLinear,257.0582990006
2025-03-01,Last Week,129.0968805556
2025-03-01,PhaseStructuralFusion,144.7762595486
2025-03-01,SSA best config,241.8634729701
2025-03-01,Yesterday,192.1543020833
2025-03-02,7-day same-slot mean,286.2045459322
2025-03-02,DLinear,375.9261185072
2025-03-02,Last Week,230.2615652778
2025-03-02,PhaseStructuralFusion,222.3247530556
2025-03-02,SSA best config,350.2359512643
2025-03-02,Yesterday,245.6062138889
