date,solver,status,runtime_seconds,initial_energy_kwh,final_energy_kwh,terminal_value_rates_yuan_per_kwh,terminal_value_breakpoints_kwh,terminal_uncertainty_reserve_kwh,terminal_value_credit_yuan,planned_purchase_cost_yuan,expected_emergency_cost_yuan,expected_total_cost_yuan,optimization_objective_yuan,planned_purchase_energy_kwh,expected_emergency_energy_kwh,expected_planned_grid_used_energy_kwh,expected_unused_planned_grid_energy_kwh,charge_energy_kwh,discharge_energy_kwh,expected_spill_energy_kwh,minimum_energy_kwh,maximum_energy_kwh,maximum_power_balance_residual_kw,maximum_soc_residual_kwh,planned_final_energy_kwh,actual_initial_energy_kwh,actual_final_energy_kwh,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,realized_planned_grid_used_energy_kwh,realized_unused_planned_grid_energy_kwh,realized_pv_spill_energy_kwh,actual_charge_energy_kwh,actual_discharge_energy_kwh,battery_clipping_energy_kwh,battery_clipping_intervals
2025-02-01,PuLP HiGHS,Optimal,5.536043,6000,7189.180086,1.124955|0.726615|0.384264,3506.12668|7153.06334|10800,3506.12668,5244.207621,25894.69778,1454.14617,27348.84395,22104.63633,48873.88094,407.2762005,45691.86569,3182.015254,21561.042,16426.68701,2630.100045,1200,10800,3.126388037e-13,1.818989404e-12,7153.06334,6000,7189.180086,156.5228146,793.43952,26688.1373,43444.98488,5428.896055,4321.214903,20167.65676,15265.5399,2554.532346,30
2025-02-02,PuLP HiGHS,Optimal,1.4697001,7189.180086,7055.402408,1.124955|0.726615|0.384264,3310.804815|7055.402408|10800,3310.804815,5095.441211,58950.0766,2200.228719,61150.30532,56054.86411,92984.05132,580.8905112,88727.1025,4256.948819,24684.69147,20115,1024.009007,1200,10800,4.547473509e-13,9.094947018e-13,7055.402408,7189.180086,7055.402408,72.96312198,253.663367,59203.73997,82429.9486,10554.10272,59.17406667,22146.62957,18059.16987,4593.892028,28
2025-02-03,PuLP HiGHS,Optimal,1.5226305,7055.402408,7055.402352,1.124955|0.726615|0.384264,3310.804704|7055.402352|10800,3310.804704,5095.441126,57836.62875,2020.340802,59856.96955,54761.52842,91679.38121,524.206916,87406.15126,4273.229947,24822.0709,20105.87748,1174.416902,1200,10800,0,4.547473509e-13,7055.402352,7055.402408,7055.402352,176.0214091,645.4839247,58482.11267,84354.86385,7324.517357,0,22705.099,18391.13024,3831.719146,25
2025-02-04,PuLP HiGHS,Optimal,1.5744491,7055.402352,7079.215681,1.124955|0.726615|0.384264,3315.626909|7057.813454|10800,3315.626909,5099.113946,57963.13444,2191.610412,60154.74485,55055.63091,91874.20319,576.5940858,87511.06328,4363.139911,24620.30902,19940.28031,1167.39227,1200,10800,0,9.094947018e-13,7057.813454,7055.402352,7079.215681,519.8871212,1995.043597,59958.17804,85216.48906,6657.714128,0,23789.896,19248.38376,1522.309577,22
2025-02-05,PuLP HiGHS,Optimal,1.5953395,7079.215681,6873.549115,1.124955|0.726615|0.384264,2947.09823|6873.549115|10800,2947.09823,4818.424999,56804.68917,2157.647312,58962.33648,54143.91148,90240.93787,567.5858983,86013.27499,4227.66288,24099.90338,19706.02165,1061.370929,1200,10800,4.547473509e-13,9.094947018e-13,6873.549115,7079.215681,6873.549115,403.7644255,1585.322299,58390.01146,84579.556,5661.381864,2.0525,23252.32029,19019.47934,1534.125399,21
2025-02-06,PuLP HiGHS,Optimal,4.1007766,6873.549115,7092.435115,1.124955|0.726615|0.384264,3337.542418|7068.771209|10800,3337.542418,5115.805839,58546.04066,2050.926566,60596.96723,55481.16139,92447.3966,536.8793895,88132.84173,4314.554876,25035.89753,20103.37712,1118.954424,1200,10800,4.547473509e-13,4.547473509e-13,7068.771209,6873.549115,7092.435115,109.2620412,393.8790717,58939.91973,84744.07569,7703.320914,1.400816667,23073.06472,18492.18502,3574.024901,26
2025-02-07,PuLP HiGHS,Optimal,6.6273032,7092.435115,7058.301918,1.124955|0.726615|0.384264,3288.933463|7044.466731|10800,3288.933463,5078.78295,24470.17344,1486.74332,25956.91676,20878.13381,46075.93605,400.865583,42972.68679,3103.249265,20154.11116,16368.00159,2785.870261,1200,10800,4.547473509e-13,1.818989404e-12,7044.466731,7092.435115,7058.301918,124.454463,713.2508493,25183.42429,40661.56368,5414.372368,5389.769389,19059.41562,15468.84653,1993.850593,28
2025-02-08,PuLP HiGHS,Optimal,7.1827017,7058.301918,7044.466687,1.124955|0.726615|0.384264,3288.933374|7044.466687|10800,3288.933374,5078.782882,22004.47551,1636.267917,23640.74343,18561.96055,41305.8673,463.3325871,38532.43928,2773.428016,19499.53631,15807.07612,3328.047169,1200,10800,4.547473509e-13,1.818989404e-12,7044.466687,7058.301918,7044.466687,289.4585546,1226.35138,23230.82689,38639.84558,2666.021719,3847.068746,18513.2862,15008.21353,1785.112704,22
2025-02-09,PuLP HiGHS,Optimal,2.5269201,7044.466687,7044.466721,1.124955|0.726615|0.384264,3288.933442|7044.466721|10800,3288.933442,5078.782934,54258.12844,2123.566875,56381.69532,51302.91238,86530.52953,564.3308484,82364.81404,4165.715492,24452.23262,19806.30839,1289.87493,1200,10800,9.094947018e-13,9.094947018e-13,7044.466721,7044.466687,7044.466721,1138.370906,3824.40073,58082.52917,82894.15387,3636.375664,0,23563.73039,19086.62159,1608.189023,20
2025-02-10,PuLP HiGHS,Optimal,1.4067699,7044.466721,6903.825529,1.124955|0.726615|0.384264,2997.494005|6898.747002|10800,2997.494005,4856.808815,55151.29219,2007.055055,57158.34725,52301.53843,87702.43427,545.4621436,83604.53875,4097.895515,24328.57896,19837.2967,1297.943739,1200,10800,9.094947018e-13,9.094947018e-13,6898.747002,7044.466721,6903.825529,208.8535057,718.9778101,55870.27,78319.17068,9383.263584,415.2136665,20593.42112,16807.24818,6765.20636,30
