date,slot,timestamp,price_yuan_per_kwh,load_forecast_kw,pv_forecast_kw,planned_grid_kw,charge_kw,discharge_kw,planned_charge_limit_kw,planned_discharge_limit_kw,storage_start_kwh,storage_end_kwh,expected_emergency_kw,expected_spill_kw,expected_planned_grid_used_kw,expected_unused_planned_grid_kw,planned_grid_kwh,charge_kwh,discharge_kwh,expected_emergency_kwh,expected_spill_kwh,expected_planned_grid_used_kwh,expected_unused_planned_grid_kwh,actual_load_kw,actual_pv_kw,actual_charge_kw,actual_discharge_kw,actual_storage_start_kwh,actual_storage_end_kwh,realized_planned_grid_used_kw,realized_unused_planned_grid_kw,realized_emergency_kw,realized_pv_spill_kw,actual_charge_kwh,actual_discharge_kwh,realized_planned_grid_used_kwh,realized_unused_planned_grid_kwh,realized_emergency_kwh,realized_pv_spill_kwh,realized_emergency_cost_yuan
2025-02-01,1,2025-02-01 00:10:00,0.4248,2725.9526,0,7807.49585,5000,0,5000,0,6000,6750,16.20470703,0,7671.414951,136.0808984,1301.249308,833.3333333,0,2.700784505,0,1278.569159,22.68014974,2532.1822,0,5000,0,6000,6750,7532.1822,275.3136496,0,0,833.3333333,0,1255.3637,45.88560827,0,0,0
2025-02-01,2,2025-02-01 00:20:00,0.4245,2680.0361,0,7779.729004,5000,0,5000,0,6750,7500,6.558725586,0,7621.992192,157.7368115,1296.621501,833.3333333,0,1.093120931,0,1270.332032,26.28946859,2492.4439,0,5000,0,6750,7500,7492.4439,287.2851039,0,0,833.3333333,0,1248.74065,47.88085065,0,0,0
2025-02-01,3,2025-02-01 00:30:00,0.4269,2659.84,0,7738.939941,5000,0,5000,0,7500,8250,15.50419922,0,7617.670991,121.2689502,1289.823324,833.3333333,0,2.584033203,0,1269.611832,20.2114917,2464.3,0,5000,0,7500,8250,7464.3,274.6399414,0,0,833.3333333,0,1244.05,45.77332357,0,0,0
2025-02-01,4,2025-02-01 00:40:00,0.4272,2861.9215,0,8026.552734,5000,0,5000,0,8250,9000,17.99805176,0,7870.637725,155.9150098,1337.758789,833.3333333,0,2.999675293,0,1311.772954,25.98583496,2581.7688,0,5000,0,8250,9000,7581.7688,444.7839344,0,0,833.3333333,0,1263.628133,74.13065573,0,0,0
2025-02-01,5,2025-02-01 00:50:00,0.4271,2905.6089,0,8062.706299,5000,0,5000,0,9000,9750,9.85003418,0,7939.57665,123.1296484,1343.784383,833.3333333,0,1.641672363,0,1323.262775,20.52160807,2546.4635,0,5000,0,9000,9750,7546.4635,516.2427988,0,0,833.3333333,0,1257.743917,86.04046647,0,0,0
2025-02-01,6,2025-02-01 01:00:00,0.4285,2809.25,0,3037.629883,0,0,0,0,9750,9750,13.16921387,0,2819.331177,218.2987061,506.2716471,0,0,2.194868978,0,469.8885295,36.38311768,2436.31,0,0,0,9750,9750,2436.31,601.3198828,0,0,0,0,406.0516667,100.2199805,0,0,0
2025-02-01,7,2025-02-01 01:10:00,0.4311,2942.6338,0,3110.343018,0,0,0,0,9750,9750,25.18415527,0,2941.197993,169.1450244,518.3905029,0,0,4.197359212,0,490.1996655,28.1908374,2620.5011,0,0,0,9750,9750,2620.5011,489.8419176,0,0,0,0,436.7501833,81.6403196,0,0,0
2025-02-01,8,2025-02-01 01:20:00,0.4302,2923.2679,0,3159.043213,0,0,0,0,9750,9750,13.27743164,0,2946.011641,213.0315723,526.5072021,0,0,2.212905273,0,491.0019401,35.50526204,2710.7861,0,0,0,9750,9750,2710.7861,448.2571129,0,0,0,0,451.7976833,74.70951882,0,0,0
2025-02-01,9,2025-02-01 01:30:00,0.4279,2787.63,0,4993.77002,2000,0,2000,0,9750,10050,13.75879883,0,4801.261821,192.5081982,832.2950033,333.3333333,0,2.293133138,0,800.2103035,32.08469971,2676.48,0,2000,0,9750,10050,4676.48,317.2900195,0,0,333.3333333,0,779.4133333,52.88166992,0,0,0
2025-02-01,10,2025-02-01 01:40:00,0.4312,2965.6344,0,3060.145264,0,0,0,0,10050,10050,27.67196289,0,2927.388799,132.7564648,510.0242106,0,0,4.611993815,0,487.8981331,22.12607747,2830.598,0,0,0,10050,10050,2830.598,229.5472637,0,0,0,0,471.7663333,38.25787728,0,0,0
