date,schedule,settlement_mode,solver_status,solver_success,solver_runtime_seconds,release_count,maximum_scenario_power_balance_residual_kw,initial_energy_kwh,final_energy_kwh,initial_planned_purchase_energy_kwh,initial_planned_purchase_cost_yuan,initial_expected_operating_cost_yuan,adjustment_cost_yuan,adjustment_energy_kwh,adjustment_increase_energy_kwh,adjustment_decrease_energy_kwh,adjusted_interval_count,emergency_energy_kwh,emergency_cost_yuan,realized_total_cost_yuan,emergency_interval_count,battery_throughput_kwh,mean_soc_kwh,minimum_soc_kwh,maximum_soc_kwh,main_settlement
2025-02-01,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.1587716000,1,0.0000000000,6000.0000000000,7189.1800857125,48488.6190411939,25718.3232573597,27159.8253417210,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,154.6365560516,794.8613147056,26513.1845720653,9,35433.1966624847,7488.9515051147,1236.1167459491,10800.0000000000,True
2025-02-02,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.1541339000,1,0.0000000000,7189.1800857125,7055.4023662184,92950.2024681922,58907.3851707045,61107.6138898741,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,72.9630995311,253.6632152010,59161.0483859055,5,40250.2295759466,8010.3432386333,1200.0000000000,10800.0000000000,True
2025-02-03,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,1.2250609000,1,0.0000000000,7055.4023662184,7055.4023573488,91943.6525565188,57980.3777948080,59992.3622884672,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,135.5137566909,479.3738985301,58459.7516933380,15,41046.1920844097,8003.6817239182,1200.0000000000,10800.0000000000,True
2025-02-04,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,0.9310597000,1,0.0000000000,7055.4023573488,7079.2156544373,92253.9820298956,58236.7245099293,60428.3349217547,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,439.9871400913,1638.5685108391,59875.2930207685,19,42860.1717581088,7927.6677282090,1221.4022266348,10800.0000000000,True
2025-02-05,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,0.9314967000,1,0.0000000000,7079.2156544373,6873.5491654318,90229.9779115742,56814.9083081913,58972.5556203189,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,381.5507824504,1461.7840276441,58276.6923358354,24,42203.7390601929,7887.0483777970,1200.0000000000,10800.0000000000,True
2025-02-06,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.7380738000,1,0.0000000000,6873.5491654318,7092.4351553880,92791.3798346206,58756.2873319954,60807.2138977973,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,99.8612088073,353.3847231388,59109.6720551342,6,41562.5956651479,7995.9415661446,1223.6639058160,10800.0000000000,True
2025-02-07,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.3726918000,1,0.0000000000,7092.4351553880,7058.3018853984,46258.2654293506,24552.5461977631,26040.9766694119,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,114.5556831159,660.7376389573,25213.2838367204,7,34550.3811419884,7471.0438002828,1213.8351869936,10800.0000000000,True
2025-02-08,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.1988756000,1,0.0000000000,7058.3018853984,7044.4666594498,40454.4438984962,21615.7928514352,23249.1104782576,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,295.8700682813,1256.5800385381,22872.3728899733,19,33533.9154082055,6955.8902644368,1200.0000000000,10800.0000000000,True
2025-02-09,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,1.0055288000,1,0.0000000000,7044.4666594498,7044.4667725025,87175.3940804710,54725.3497227256,56848.9160668813,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,695.1468834454,2295.5854626007,57020.9351853263,32,42162.1377988418,7901.7763069842,1200.0000000000,10800.0000000000,True
2025-02-10,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,0.9124540000,1,0.0000000000,7044.4667725025,6903.8255246751,87366.5488919788,54899.2861615899,56906.3408746925,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,208.8532841669,718.9771754232,55618.2633370131,14,37725.1320596469,8082.6372889652,1205.0785269097,10800.0000000000,True
