period,scope_type,scope_value,method,n,mae_kw,rmse_kw,bias_kw,nrmse_pct
calibration,overall,all,官方预测,864,139.1242459491,353.5655633082,-24.4873262731,5.6408597455
calibration,overall,all,昨日同刻,864,96.6624131944,213.9271114584,-12.9936631944,3.4130383632
calibration,overall,all,上周同刻,864,104.7876736111,223.3137369138,-41.9737847222,3.5627945702
calibration,overall,all,七日同刻均值,864,72.4600570437,151.2144460480,-27.5147197421,2.4125072410
calibration,overall,all,静态凸融合,864,68.6829453472,144.2550852267,-27.1418209705,2.3014761271
calibration,overall,all,提前期分箱融合,864,60.3035753896,131.1506166055,-23.6390099195,2.0924046643
calibration,overall,all,发布时间分组融合,864,65.6856641602,138.9983556734,-26.5902109493,2.2176091525
calibration,overall,all,在线因果融合,864,73.4272412687,155.8869155802,-28.9502826895,2.4870528077
calibration,daylight,actual_pv_gt_0,官方预测,396,303.5438093434,522.2509481586,-53.4268936869,8.3321020377
calibration,daylight,actual_pv_gt_0,昨日同刻,396,210.8998106061,315.9912853238,-28.3498106061,5.0413917708
calibration,daylight,actual_pv_gt_0,上周同刻,396,228.6276515152,329.8562499946,-91.5791666667,5.2625963484
calibration,daylight,actual_pv_gt_0,七日同刻均值,396,158.0946699134,223.3585394599,-60.0321158009,3.5635093595
calibration,daylight,actual_pv_gt_0,静态凸融合,396,149.8536989394,213.0788822628,-59.2185184810,3.3995055353
calibration,daylight,actual_pv_gt_0,提前期分箱融合,396,131.5714372137,193.7222992899,-51.5760216426,3.0906865183
calibration,daylight,actual_pv_gt_0,发布时间分组融合,396,143.3141763495,205.3141781221,-58.0150057077,3.2756258039
calibration,daylight,actual_pv_gt_0,在线因果融合,396,160.2048900408,230.2602343552,-63.1642531407,3.6736204590
calibration,lead_bin,1-3h,官方预测,108,26.5106962963,56.1840717007,4.0599074074,0.9061910509
calibration,lead_bin,1-3h,昨日同刻,108,104.4149305556,239.7546280130,-21.9468750000,3.8669945365
calibration,lead_bin,1-3h,上周同刻,108,110.0253472222,234.3562862251,-45.2496527778,3.7799248588
calibration,lead_bin,1-3h,七日同刻均值,108,79.6864583333,164.1463003530,-32.1614583333,2.6475102980
calibration,lead_bin,1-3h,静态凸融合,108,69.4373576416,143.3592330414,-27.6998966205,2.3122363707
calibration,lead_bin,1-3h,提前期分箱融合,108,24.0838783349,51.2195636330,-0.6116107719,0.8261186630
calibration,lead_bin,1-3h,发布时间分组融合,108,62.2594606688,138.1126841815,-25.4262193528,2.2276149561
calibration,lead_bin,1-3h,在线因果融合,108,77.0330415096,155.7207409192,-28.9093520946,2.5116147261
