selected_method,comparator,pairing_unit,metric,n_days,median_selected_minus_comparator_kw,wilcoxon_statistic,p_value,p_value_bh_fdr
提前期分箱融合,官方预测,目标日期,MAE,334,-70.97642243,2220,3.657846571e-48,4.267487667e-48
提前期分箱融合,官方预测,目标日期,RMSE,334,-177.3467109,1059,1.937198189e-52,3.013419405e-52
提前期分箱融合,昨日同刻,目标日期,MAE,334,-59.75573963,1130,3.581271219e-52,5.013779707e-52
提前期分箱融合,昨日同刻,目标日期,RMSE,334,-105.6758745,1203,6.724946945e-52,8.559023384e-52
提前期分箱融合,上周同刻,目标日期,MAE,334,-84.53749691,17,1.951023192e-56,9.104774896e-56
提前期分箱融合,上周同刻,目标日期,RMSE,334,-142.7728807,163,7.233717538e-56,2.531801138e-55
提前期分箱融合,七日同刻均值,目标日期,MAE,334,-29.82340457,15,1.916222901e-56,9.104774896e-56
提前期分箱融合,七日同刻均值,目标日期,RMSE,334,-44.14568331,222,1.226030246e-55,2.86073724e-55
提前期分箱融合,静态凸融合,目标日期,MAE,334,-15.97541433,321,2.964182974e-55,5.928365949e-55
提前期分箱融合,静态凸融合,目标日期,RMSE,334,-20.28203214,2323,8.581406372e-48,9.241514554e-48
提前期分箱融合,发布时间分组融合,目标日期,MAE,334,-9.560897396,547,2.19814721e-54,3.846757618e-54
提前期分箱融合,发布时间分组融合,目标日期,RMSE,334,-11.58174491,2561,6.076522109e-47,6.076522109e-47
提前期分箱融合,在线因果融合,目标日期,MAE,334,-29.82340457,15,1.916222901e-56,9.104774896e-56
提前期分箱融合,在线因果融合,目标日期,RMSE,334,-44.14568331,222,1.226030246e-55,2.86073724e-55
