lead_bin,subset,n,mae_kw,rmse_kw,bias_kw,nrmse_pct
1-3h,全部时段,4380,34.5247258219,69.4273167279,0.6161557763,0.7095017351
1-3h,光伏出力时段,2190,69.0494516438,98.1850529158,1.2323115525,1.0033869764
4-6h,全部时段,4380,77.7768215525,170.4460468892,-3.5681649315,1.7051617166
4-6h,光伏出力时段,2189,155.6247046140,241.1021636050,-7.1395899497,2.4120135766
7-12h,全部时段,8754,144.7890557345,298.8842469182,-16.1328669751,2.9900721363
7-12h,光伏出力时段,4379,289.4458538251,422.5896188211,-32.2509973738,4.2276348030
13-18h,全部时段,8748,226.2856632945,458.9081145990,-39.5910799154,4.5909691821
13-18h,光伏出力时段,4373,452.6748187743,649.0682799813,-79.2002668877,6.4933531913
19-24h,全部时段,8742,319.5101188858,673.0206933558,-65.9231400480,6.7329758699
19-24h,光伏出力时段,4368,639.4591252976,952.1217888750,-131.9368338599,9.5251351006
