date,solver_status,solver_runtime_seconds,initial_energy_kwh,planned_final_energy_kwh,actual_final_energy_kwh,planned_purchase_cost_yuan,planned_purchase_energy_kwh,decision_price_planned_cost_yuan,expected_scenario_emergency_cost_yuan,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,maximum_scenario_power_balance_residual_kw
2025-02-01,Optimal,2.7770400000,6000.0000000000,7153.0633401199,7189.1800860690,20850.0437460140,49084.2038784876,20850.0437460140,1190.0410257158,156.5228145833,690.5807888316,21540.6245348456,0.0000000000
2025-02-02,Optimal,2.2160748000,7189.1800860690,7055.4024076135,7055.4024076135,64886.4995693202,92867.0086369790,64886.4995693203,2410.5705884737,72.9631219773,266.2344569206,65152.7340262408,0.0000000000
2025-02-03,Optimal,0.8613211000,7055.4024076135,7055.4023518546,7055.4023518546,64596.7974551699,91501.6159470219,64596.7974551699,2293.4992401095,176.0214090576,747.8131123861,65344.6105675560,0.0000000000
2025-02-04,Optimal,0.9467085000,7055.4023518546,7057.8134542853,7060.8449024913,64918.0241359903,92013.9710986514,64918.0241359903,2466.7583293759,582.9378303991,2570.9933727887,67489.0175087790,0.0000000000
2025-02-05,Optimal,0.9578427000,7060.8449024913,6873.5491149006,6873.5491149006,63529.2362664902,90349.3598635101,63529.2362664902,2406.8619231514,393.4522093567,1848.9912443110,65378.2275108012,0.0000000000
2025-02-06,Optimal,0.9137986000,6873.5491149006,7068.7712090462,7092.4351148621,65118.4944120779,92359.0722896480,65118.4944120779,2328.5382617821,109.2620412109,411.3574765709,65529.8518886488,0.0000000000
2025-02-07,Optimal,3.4190587000,7092.4351148621,7044.4667314542,7044.4667314542,19620.7645414471,46592.4474070595,19620.7645414471,1199.0366377161,122.7555697359,606.8643929173,20227.6289343644,0.0000000000
2025-02-08,Optimal,3.0124582000,7044.4667314542,7044.4666868415,7044.4666868415,17572.9051640442,41939.5894992469,17572.9051640442,1281.8391204707,265.5166295526,962.0667655553,18534.9719295995,0.0000000000
2025-02-09,Optimal,0.9545516000,7044.4666868415,7044.4667211891,7044.4667211891,59815.1224389067,86240.7058704761,59815.1224389067,2401.3849353733,1113.9592388920,4792.2938772551,64607.4163161618,0.0000000000
2025-02-10,Optimal,0.9465645000,7044.4667211891,6898.7470024987,6903.8255294084,59407.1757385042,87487.5431305915,59407.1757385042,2264.6132026103,208.8535056827,713.4651547122,60120.6408932164,0.0000000000
2025-02-11,Optimal,3.0501120000,6903.8255294084,6962.2637355910,6962.2637355910,58462.4848750921,85807.7795073562,58462.4848750921,2252.7321877288,219.1532947767,1090.9362716602,59553.4211467523,0.0000000000
2025-02-12,Optimal,2.5452351000,6962.2637355910,7010.4457289411,7010.4457289411,57731.3600381038,85485.7540809506,57731.3600381038,2335.4708421041,331.4318829078,1487.2975917491,59218.6576298529,0.0000000000
2025-02-13,Optimal,3.7626545000,7010.4457289411,7112.2394639311,7112.2394639311,57073.3158046718,85261.4055261552,57073.3158046718,2149.8286179122,308.6721950614,1335.3841885755,58408.6999932473,0.0000000000
2025-02-14,Optimal,3.1698424000,7112.2394639311,7112.2394683272,7112.2394683272,16216.6450735338,38410.1608632934,16216.6450735338,1193.7519378226,948.1994548526,2731.4401938064,18948.0852673401,0.0000000000
2025-02-15,Optimal,3.4053741000,7112.2394683272,7011.2195779257,7011.2195779257,16416.7763760093,37894.3660094767,16416.7763760093,1200.4071507495,750.1305518568,2320.6679466513,18737.4443226605,0.0000000000
2025-02-16,Optimal,3.8690392000,7011.2195779257,7041.7325831244,7041.7325831244,55786.5826237178,82803.8061004430,55786.5826237178,2403.3964726969,985.3361615660,4295.0650432999,60081.6476670177,0.0000000000
2025-02-17,Optimal,0.9627859000,7041.7325831244,6992.5553405086,6992.5553405086,54430.8609066994,81784.7673005788,54430.8609066994,2374.4247221384,317.7098543532,1324.1155849233,55754.9764916226,0.0000000000
2025-02-18,Optimal,3.1391110000,6992.5553405086,6967.9894250754,6967.9894250754,53609.5371699969,81296.4567712287,53609.5371699969,2270.3284044470,331.7704847348,1422.9209793425,55032.4581493394,0.0000000000
2025-02-19,Optimal,3.3958933000,6967.9894250754,6999.3999228322,6999.3999228322,53198.3571482817,81154.6091051916,53198.3571482817,2271.1090329905,859.0815285901,3343.0778728399,56541.4350211217,0.0000000000
2025-02-20,Optimal,4.7440234000,6999.3999228322,7044.4667512310,7044.4667512310,53366.6850020252,80645.7249163214,53366.6850020252,2273.5032524439,512.5927130041,2507.5726652689,55874.2576672941,0.0000000000
2025-02-21,Optimal,3.0149308000,7044.4667512310,6833.8842660609,6833.8842660609,15872.9256798952,36929.0037488049,15872.9256798952,885.5551873638,262.4784893563,742.4073724548,16615.3330523500,0.0000000000
2025-02-22,Optimal,3.2403481000,6833.8842660609,7007.7117353060,7007.7117353060,16073.5817729193,37011.2890003265,16073.5817729193,1015.5542091526,313.0972565579,943.6975271194,17017.2793000387,0.0000000000
