month,days_solved,optimal_days,planned_cost_yuan,realized_cost_yuan,emergency_energy_kwh,emergency_cost_yuan,ending_realized_soc_kwh
2025-02,28,28,1277985.4280533942,1326327.3133338799,12041.8140519467,48341.8852804856,6999.2064739204
2025-03,31,31,1100693.5917462015,1205471.6188171448,26293.2409525171,104778.0270709434,6993.0134387379
2025-04,30,30,888188.8871439695,1004397.3718435215,31555.5484362116,116208.4846995519,7048.2163232207
2025-05,31,31,894215.0095606649,1063975.4687046204,42131.3520028400,169760.4591439555,7692.6406143333
2025-06,30,30,1277858.8306573555,1660229.1105250651,90301.2054744608,382370.2798677096,7755.3360566491
2025-07,31,31,1601772.6008800061,1914765.5038412171,75120.0022531008,312992.9029612110,7759.2054729067
2025-08,31,31,1427493.8237183040,1529041.8269101721,23583.6441014617,101548.0031918682,7847.0816817149
2025-09,30,30,1137791.7867672769,1229064.9377118379,22897.8721441419,91273.1509445611,8106.7842228573
2025-10,31,31,1122589.0304018969,1197697.3853707395,19068.1931681081,75108.3549688425,7710.9789985888
2025-11,30,30,1323599.8899904892,1391915.0284287829,17171.6805853791,68315.1384382938,7867.4413736824
2025-12,31,31,1874261.8991534214,2025070.7908742956,36039.7196257804,150808.8917208742,7834.3304919752
