month,days_solved,optimal_days,planned_cost_yuan,realized_cost_yuan,emergency_energy_kwh,emergency_cost_yuan,adjustment_cost_yuan,ending_realized_soc_kwh
2025-02,28,28,1277795.4273825381,1311877.9676825786,10707.7482856645,44418.0775450387,-10335.5372449984,6947.9320151418
2025-03,31,31,1100698.1671359073,1168106.8731388757,17838.8014317590,70815.6835455199,-3406.9775425516,6946.4029004424
2025-04,30,30,888723.4016613831,968973.9875341094,21098.8284293325,78921.9901689753,1328.5957037510,7016.6773835056
2025-05,31,31,893207.8357043758,1029565.7020356789,32843.5822192501,135275.1517267197,1082.7146045835,7605.2025707132
2025-06,30,30,1283557.1982069456,1568272.5844358227,65595.2349629769,273690.8540477112,11024.5321811658,7696.0511056798
2025-07,31,31,1601885.2414880486,1885421.2481256139,68690.8249469040,286298.6834430962,-2762.6768055309,7681.7917734579
2025-08,31,31,1429604.8857488071,1500346.2524706346,16340.3186982104,69843.0195397106,898.3471821169,7763.6942280105
2025-09,30,30,1141523.6816728241,1203631.4908292773,13951.2796342498,56203.9245239537,5903.8846324996,8005.3581383700
2025-10,31,31,1128185.0353965811,1178812.0390440351,12324.1938803279,48594.3647114728,2032.6389359813,7653.3353623428
2025-11,30,30,1327106.7961858590,1376150.9193440937,11246.9281398574,45078.1835460099,3965.9396122246,7880.4808523936
2025-12,31,31,1877086.8338588860,2005763.4079967630,31517.1691502612,129608.0562587736,-931.4821208965,7769.0441825754
