date,schedule,settlement_mode,solver_status,solver_success,solver_runtime_seconds,release_count,maximum_scenario_power_balance_residual_kw,initial_energy_kwh,final_energy_kwh,initial_planned_purchase_energy_kwh,initial_planned_purchase_cost_yuan,initial_expected_operating_cost_yuan,adjustment_cost_yuan,adjustment_energy_kwh,adjustment_increase_energy_kwh,adjustment_decrease_energy_kwh,adjusted_interval_count,emergency_energy_kwh,emergency_cost_yuan,realized_total_cost_yuan,emergency_interval_count,battery_throughput_kwh,mean_soc_kwh,minimum_soc_kwh,maximum_soc_kwh,wall_runtime_seconds
2025-02-01,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.9566221000,1,0.0000000000,6000.0000000000,7189.1800857125,48715.0336355337,20721.6899724937,21894.3746814685,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,154.6365560516,690.5085901867,21412.1985626804,9,36539.0945549382,7407.5283521911,1236.1167459491,10800.0000000000,2832.6880042000
2025-02-02,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.2779790000,1,0.0000000000,7189.1800857125,7055.4023662184,92855.0412946896,64861.2886658937,67248.3550111382,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,72.9630995311,266.2343131642,65127.5229790579,5,39180.2551229299,7620.6088638043,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-03,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,0.9065844000,1,0.0000000000,7055.4023662184,7055.4023573488,91763.7474458417,64783.8510673286,67067.7322922257,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,135.5137566909,552.5212174549,65336.3722847836,15,40940.4471879628,7641.5186442536,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-04,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,0.8259514000,1,0.0000000000,7055.4023573488,7060.8448760085,92391.8424488094,65248.2635636517,67716.1890102964,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,495.9804905437,2121.4680586211,67369.7316222728,20,43898.1710960462,7808.7006951275,1203.0314482060,10800.0000000000,2832.6880042000
2025-02-05,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,1.3155538000,1,0.0000000000,7060.8448760085,6873.5491654318,90338.0664487855,63532.4338506169,65939.2957737683,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,375.8253592733,1734.8379574952,65267.2718081121,24,42977.1373603162,7736.2498218941,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-06,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,0.9595381000,1,0.0000000000,6873.5491654318,7092.4351553880,92700.3291761206,65392.3274407136,67720.8657024957,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,99.8612088073,359.5276995316,65751.8551402452,6,41597.3086080159,7784.1126647990,1223.6639058160,10800.0000000000,2832.6880042000
2025-02-07,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.5966916000,1,0.0000000000,7092.4351553880,7044.4666984048,46768.1893175865,19678.7284561208,20881.5878385386,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,114.5556831159,566.2174604670,20244.9459165877,7,38614.3394558307,7440.6691224847,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-08,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.9094192000,1,0.0000000000,7044.4666984048,7044.4666594498,41114.3845017189,17273.9616191967,18556.8951317780,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,274.7036365248,995.9916744921,18269.9532936888,18,37921.5187912741,7005.3726863130,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-09,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.9111236000,1,0.0000000000,7044.4666594498,7044.4667725025,86886.2180835528,60405.7113524652,62807.7519019088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,694.8492533051,2908.4738081140,63314.1851605791,33,39851.3736183020,8058.6145275858,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-10,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.7892461000,1,0.0000000000,7044.4667725025,6903.8255246751,87152.0387253203,59117.2495687655,61381.8624383800,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,208.8532841669,713.4644488542,59830.7140176198,14,38103.6866619908,7978.6873388544,1205.0785269097,10800.0000000000,2832.6880042000
