slot,n,mean_yuan_per_kwh,std_yuan_per_kwh,min_yuan_per_kwh,median_yuan_per_kwh,max_yuan_per_kwh,q1_yuan_per_kwh,q3_yuan_per_kwh,p05_yuan_per_kwh,p95_yuan_per_kwh,data_driven_band,interval_start,interval_end
1,365,0.4248183562,0.0686575874,0.2543000000,0.4278000000,0.6069000000,0.3845000000,0.4636000000,0.3027800000,0.5384400000,低价时段,0 days 00:00:00,0 days 00:10:00
2,365,0.4245104110,0.0647936611,0.2369000000,0.4238000000,0.5905000000,0.3875000000,0.4590000000,0.3174600000,0.5346800000,低价时段,0 days 00:10:00,0 days 00:20:00
3,365,0.4269364384,0.0675732937,0.2643000000,0.4276000000,0.6302000000,0.3861000000,0.4701000000,0.3128600000,0.5391800000,低价时段,0 days 00:20:00,0 days 00:30:00
4,365,0.4272427397,0.0663135735,0.2747000000,0.4298000000,0.6170000000,0.3855000000,0.4670000000,0.3128400000,0.5430400000,低价时段,0 days 00:30:00,0 days 00:40:00
5,365,0.4270868493,0.0646644750,0.2893000000,0.4285000000,0.5989000000,0.3861000000,0.4676000000,0.3215800000,0.5449000000,低价时段,0 days 00:40:00,0 days 00:50:00
6,365,0.4285232877,0.0647572630,0.2653000000,0.4338000000,0.6130000000,0.3794000000,0.4695000000,0.3191600000,0.5385000000,低价时段,0 days 00:50:00,0 days 01:00:00
7,365,0.4311065753,0.0650358718,0.2520000000,0.4362000000,0.6458000000,0.3907000000,0.4675000000,0.3239000000,0.5384400000,低价时段,0 days 01:00:00,0 days 01:10:00
8,365,0.4301556164,0.0628643831,0.2648000000,0.4359000000,0.5903000000,0.3854000000,0.4676000000,0.3255200000,0.5339400000,低价时段,0 days 01:10:00,0 days 01:20:00
9,365,0.4279389041,0.0602204318,0.2717000000,0.4332000000,0.5887000000,0.3819000000,0.4672000000,0.3265600000,0.5241800000,低价时段,0 days 01:20:00,0 days 01:30:00
10,365,0.4312449315,0.0610431802,0.2803000000,0.4326000000,0.6039000000,0.3940000000,0.4691000000,0.3237800000,0.5376600000,低价时段,0 days 01:30:00,0 days 01:40:00
11,365,0.4332564384,0.0626322464,0.2695000000,0.4373000000,0.6082000000,0.3904000000,0.4750000000,0.3310000000,0.5386200000,低价时段,0 days 01:40:00,0 days 01:50:00
