month,n,mean_yuan_per_kwh,std_yuan_per_kwh,coefficient_of_variation,min_yuan_per_kwh,q1_yuan_per_kwh,median_yuan_per_kwh,q3_yuan_per_kwh,max_yuan_per_kwh
1,4464,0.8596107751,0.3745023599,0.4356650367,0.2432000000,0.4780000000,0.8596500000,1.1493250000,1.6401000000
2,4032,0.7695711806,0.3200601823,0.4158941893,0.2247000000,0.4479750000,0.7759500000,1.0403000000,1.4470000000
3,4464,0.7255331989,0.3146482905,0.4336786944,0.0913000000,0.4306000000,0.7146500000,0.9787250000,1.3583000000
4,4320,0.6988464120,0.3065581926,0.4386631845,0.0076000000,0.4294000000,0.6526500000,0.9325250000,1.3932000000
5,4464,0.6912003360,0.3078531283,0.4453891473,0.0389000000,0.4323500000,0.6347000000,0.9124750000,1.4134000000
6,4320,0.7662756713,0.3156180148,0.4118857307,0.1708000000,0.4774000000,0.7357000000,1.0198250000,1.4509000000
7,4464,0.8300811828,0.3665673410,0.4416042052,0.1337000000,0.5238000000,0.7638500000,1.0794500000,1.7936000000
8,4464,0.7864659722,0.3691622554,0.4693938053,0.0665000000,0.4942750000,0.6924500000,1.0283000000,1.7686000000
9,4320,0.7202801852,0.3210366584,0.4457108011,0.0376000000,0.4369750000,0.6864000000,0.9621500000,1.4221000000
10,4464,0.7202710573,0.3177584778,0.4411651344,0.0390000000,0.4287000000,0.7200000000,0.9699250000,1.3793000000
11,4320,0.7610268287,0.3244954638,0.4263916219,0.2088000000,0.4379750000,0.7739500000,1.0388000000,1.4244000000
12,4464,0.8617168235,0.3760437559,0.4363890152,0.2354000000,0.4731000000,0.8766500000,1.1585250000,1.6698000000
