period,n,price_std_yuan_per_kwh,coefficient_of_variation,mean_absolute_10min_change,std_10min_change,maximum_absolute_10min_change,mean_daily_range,median_daily_range,maximum_daily_range
全年,52560,0.3406733369,0.4446285590,0.0545520337,0.0912242119,0.4996000000,1.1073117808,1.0560000000,1.4995000000
1月,4464,0.3745023599,0.4356650367,0.0615510490,0.1039132118,0.4539000000,1.1985903226,1.1955000000,1.3001000000
2月,4032,0.3200601823,0.4158941893,0.0499321429,0.0838373845,0.4747000000,0.9830428571,0.9856000000,1.1242000000
3月,4464,0.3146482905,0.4336786944,0.0505120460,0.0841690742,0.4708000000,0.9899225806,0.9906000000,1.0920000000
4月,4320,0.3065581926,0.4386631845,0.0512805828,0.0848516956,0.4547000000,1.0151666667,1.0070500000,1.1884000000
5月,4464,0.3078531283,0.4453891473,0.0512989172,0.0843801638,0.4759000000,1.0582645161,1.0510000000,1.2277000000
6月,4320,0.3156180148,0.4118857307,0.0505673193,0.0840601955,0.4356000000,1.0609433333,1.0614500000,1.1531000000
7月,4464,0.3665673410,0.4416042052,0.0630457027,0.1038781273,0.4996000000,1.3425032258,1.3416000000,1.4340000000
8月,4464,0.3691622554,0.4693938053,0.0641778931,0.1047276021,0.4812000000,1.3799419355,1.3750000000,1.4995000000
9月,4320,0.3210366584,0.4457108011,0.0511737995,0.0843044943,0.4307000000,1.0480566667,1.0311500000,1.2297000000
10月,4464,0.3177584778,0.4411651344,0.0500256485,0.0828975502,0.4304000000,1.0057741935,0.9972000000,1.1179000000
11月,4320,0.3244954638,0.4263916219,0.0500581119,0.0836802883,0.4297000000,0.9845866667,0.9821500000,1.0823000000
12月,4464,0.3760437559,0.4363890152,0.0600660952,0.1027717637,0.4896000000,1.1985838710,1.1986000000,1.3750000000
