group_type,group_value,variable,count,mean,std,min,25%,median,75%,max
overall,all,PV,52560,2311.785709,2948.666738,0,0,18.8589,4903.734725,10216.2
overall,all,Load,52560,4626.03367,1411.745817,1995.7176,3517.3475,4270.6836,6138.408125,7978.8849
overall,all,Net Load,52560,2314.247961,2432.803837,-6601.9911,914.147625,3126.76245,4021.9675,6687.7481
overall,all,Price,52560,0.7661976046,0.3406733369,0.0076,0.4537,0.73845,1.0274,1.7936
month,1,PV,4464,1589.183894,2247.257486,0,0,0,3423.803675,7159.125
month,1,Load,4464,4726.090275,1450.288477,2211.69,3644.982975,4286.383,6311.4243,7546.7527
month,1,Net Load,4464,3136.90638,1767.038574,-2806.2275,2464.372,3486.48065,4302.05715,6630.473
month,1,Price,4464,0.8596450493,0.3744589558,0.2432,0.478,0.85965,1.149325,1.6401
month,2,PV,4032,1966.480347,2656.139451,0,0,0.0021,4299.241725,8445.2427
month,2,Load,4032,4516.892912,1423.052025,2055.4315,3432.946725,4103.505,6108.96075,7370.8801
month,2,Net Load,4032,2550.412565,2071.780656,-3802.4675,1465.6411,3173.72875,3984.341925,6382.9293
month,2,Price,4032,0.7695700645,0.3200617808,0.2247,0.447975,0.77595,1.0403,1.447
month,3,PV,4464,2304.196756,2932.635282,0,0,3.95585,5031.274775,9127.0875
month,3,Load,4464,4355.520519,1381.521826,2081.95,3363.3185,3797.03385,6041.437475,6925.7674
month,3,Net Load,4464,2051.323763,2338.135664,-5432.9375,573.6084,2743.51065,3628.284925,6417.7809
month,3,Price,4464,0.7255021057,0.3146821533,0.0913,0.430575,0.71465,0.978725,1.3583
month,4,PV,4320,2701.685689,3231.719491,0,0,516.20035,5837.1076,10216.2
month,4,Load,4320,4392.875841,1373.57084,2105.39,3381.321425,3874.1182,6069.81235,6958.0721
month,4,Net Load,4320,1691.190151,2563.027902,-6452.0775,-208.6654,2657.2785,3584.39665,5704.7228
month,4,Price,4320,0.6988475463,0.3065572711,0.0076,0.4294,0.65265,0.932525,1.3932
month,5,PV,4464,2806.502397,3203.999749,0,0,1032.76875,6035.37865,9923.7033
month,5,Load,4464,4401.588165,1355.611595,2159.52,3426.198675,3766.83135,6048.142175,6978.6702
month,5,Net Load,4464,1595.085768,2620.803527,-6318.4107,-505.510825,2616.42675,3567.960975,5658.2886
month,5,Price,4464,0.6911818772,0.3078652781,0.0389,0.43235,0.6347,0.912475,1.4134
month,6,PV,4320,2369.826565,2662.64003,0,0,1042.32195,4926.677475,8626.2441
month,6,Load,4320,4800.219009,1338.821987,2466.7341,3731.749175,4304.7413,6355.980425,7491.4643
month,6,Net Load,4320,2430.392444,2210.573042,-4875.6156,875.191675,3084.53825,3973.23545,6207.1145
month,6,Price,4320,0.7662646528,0.3156254409,0.1708,0.4774,0.7357,1.019825,1.4509
month,7,PV,4464,2723.254275,3095.810953,0,0,1081.85625,5735.726925,9752.2309
month,7,Load,4464,5337.540905,1334.902693,2758.4698,4268.43745,4885.5727,6791.835,7978.8849
month,7,Net Load,4464,2614.28663,2616.672264,-5086.5125,578.680625,3584.24575,4533.149675,6570.0583
