rank,normalized_singular_value_q25,normalized_singular_value_median,normalized_singular_value_q75,cumulative_energy_q25,cumulative_energy_median,cumulative_energy_q75,lookback,hankel_rows,stride
1,1,1,1,0.3739792707,0.4078761962,0.4327066918,1008,144,1008
2,0.9977391842,0.9986287857,0.9991737476,0.746757139,0.8144091075,0.8651479355,1008,144,1008
3,0.3825403241,0.463431486,0.554739408,0.8618434168,0.9020086598,0.928341736,1008,144,1008
4,0.3817600633,0.4626722895,0.5537847328,0.9765341015,0.9875449726,0.9898893326,1008,144,1008
5,0.06776613184,0.07953541761,0.1414667361,0.9839838715,0.9896445557,0.9922311696,1008,144,1008
6,0.06537587145,0.0758817088,0.1412608696,0.9913183045,0.9927785225,0.9940504747,1008,144,1008
7,0.04718667668,0.05988133653,0.06635994792,0.9929880201,0.994386892,0.9952812521,1008,144,1008
8,0.04356858917,0.05624535527,0.06581595086,0.9949078629,0.9955909005,0.9961407811,1008,144,1008
9,0.0366442856,0.04200560562,0.05288731756,0.995873672,0.9963850443,0.996790831,1008,144,1008
10,0.03211335499,0.03792194225,0.04751184232,0.9966247259,0.9970556634,0.9973559294,1008,144,1008
11,0.02950020232,0.03240717524,0.03630959423,0.9970962837,0.9974898743,0.9977696956,1008,144,1008
12,0.02503238818,0.02718234791,0.0307157405,0.9974439783,0.997808997,0.9980705504,1008,144,1008
13,0.02314665418,0.02486544965,0.02867257336,0.997687365,0.9981063823,0.99832133,1008,144,1008
14,0.0200016941,0.02224606575,0.02416800094,0.9979838598,0.9982982003,0.9985088399,1008,144,1008
15,0.01874470778,0.02094859663,0.02317800298,0.9981604591,0.9984603281,0.9986327885,1008,144,1008
16,0.01697616218,0.01879033717,0.02147638992,0.9983013282,0.9985984938,0.99875906,1008,144,1008
17,0.01593342157,0.01762802951,0.02045771623,0.9984703047,0.9987140818,0.9989127322,1008,144,1008
18,0.01501774559,0.01622741981,0.01735545994,0.9985973464,0.9988352144,0.999008209,1008,144,1008
19,0.01409825794,0.01539141678,0.0172007005,0.9986985936,0.9989332486,0.9990966004,1008,144,1008
20,0.01318915204,0.0138831687,0.01510006644,0.9987869389,0.9990103395,0.9991626746,1008,144,1008
21,0.01219678883,0.01312110638,0.01458213492,0.9988644899,0.999086484,0.9992178494,1008,144,1008
22,0.01121671055,0.01235045118,0.01339444365,0.9989257825,0.999134197,0.9992671661,1008,144,1008
23,0.01068460713,0.0116335154,0.01300434491,0.9989888465,0.9991799248,0.9993144989,1008,144,1008
24,0.009984820778,0.01091413294,0.01228859377,0.9990396814,0.9992405802,0.9993645704,1008,144,1008
