window_id,history_start,history_end,forecast_start,forecast_end,top1_energy,top3_energy,yesterday_mae,yesterday_rmse
1,2025-01-01 00:10:00,2025-01-08,2025-01-08 00:10:00,2025-01-09,0.3576623219,0.8407096141,138.8887458,340.4356056
2,2025-01-02 00:10:00,2025-01-09,2025-01-09 00:10:00,2025-01-10,0.3571734143,0.8401822935,107.7214215,248.317072
3,2025-01-03 00:10:00,2025-01-10,2025-01-10 00:10:00,2025-01-11,0.3572889181,0.8398055066,85.42068819,164.1985844
4,2025-01-04 00:10:00,2025-01-11,2025-01-11 00:10:00,2025-01-12,0.3581103826,0.8411208382,75.40168819,150.3094441
5,2025-01-05 00:10:00,2025-01-12,2025-01-12 00:10:00,2025-01-13,0.3591349258,0.8425790134,79.16626597,173.461986
6,2025-01-06 00:10:00,2025-01-13,2025-01-13 00:10:00,2025-01-14,0.3599581579,0.8435922117,128.5279729,237.3800974
7,2025-01-07 00:10:00,2025-01-14,2025-01-14 00:10:00,2025-01-15,0.3600090536,0.8440389741,60.94095278,121.1345848
8,2025-01-08 00:10:00,2025-01-15,2025-01-15 00:10:00,2025-01-16,0.3606691542,0.8448127426,65.08751042,147.6638855
9,2025-01-09 00:10:00,2025-01-16,2025-01-16 00:10:00,2025-01-17,0.361111063,0.8460309802,102.4447583,232.0581536
10,2025-01-10 00:10:00,2025-01-17,2025-01-17 00:10:00,2025-01-18,0.3613607087,0.8461065923,110.1970319,219.1603206
11,2025-01-11 00:10:00,2025-01-18,2025-01-18 00:10:00,2025-01-19,0.3616706229,0.8462883233,66.88607708,146.0312965
12,2025-01-12 00:10:00,2025-01-19,2025-01-19 00:10:00,2025-01-20,0.36270334,0.8475294364,105.4633528,211.722148
13,2025-01-13 00:10:00,2025-01-20,2025-01-20 00:10:00,2025-01-21,0.3630015388,0.8478689383,90.07628264,176.6287993
14,2025-01-14 00:10:00,2025-01-21,2025-01-21 00:10:00,2025-01-22,0.3622817225,0.847412177,171.5767069,323.4124789
15,2025-01-15 00:10:00,2025-01-22,2025-01-22 00:10:00,2025-01-23,0.3623086015,0.8467831319,214.2788451,431.2152037
16,2025-01-16 00:10:00,2025-01-23,2025-01-23 00:10:00,2025-01-24,0.3626399214,0.8469073141,72.05729722,142.4598971
17,2025-01-17 00:10:00,2025-01-24,2025-01-24 00:10:00,2025-01-25,0.3628980242,0.847933826,159.3575625,357.2153411
18,2025-01-18 00:10:00,2025-01-25,2025-01-25 00:10:00,2025-01-26,0.3625494926,0.8473199187,100.955675,228.26949
19,2025-01-19 00:10:00,2025-01-26,2025-01-26 00:10:00,2025-01-27,0.3614284312,0.8462334999,173.5972569,396.2875455
20,2025-01-20 00:10:00,2025-01-27,2025-01-27 00:10:00,2025-01-28,0.3630511349,0.8473241269,115.9034056,245.4581024
21,2025-01-21 00:10:00,2025-01-28,2025-01-28 00:10:00,2025-01-29,0.3643467248,0.8492499568,101.108091,215.2381962
22,2025-01-22 00:10:00,2025-01-29,2025-01-29 00:10:00,2025-01-30,0.3657588685,0.8511379438,188.5160743,339.9482503
23,2025-01-23 00:10:00,2025-01-30,2025-01-30 00:10:00,2025-01-31,0.3665081669,0.8520555037,107.4151854,208.7118117
24,2025-01-24 00:10:00,2025-01-31,2025-01-31 00:10:00,2025-02-01,0.367225451,0.8534283222,86.22359583,179.6702763
25,2025-01-25 00:10:00,2025-02-01,2025-02-01 00:10:00,2025-02-02,0.3691992088,0.8557559515,101.201391,195.1476905
26,2025-01-26 00:10:00,2025-02-02,2025-02-02 00:10:00,2025-02-03,0.3701489852,0.8572503153,70.20849097,154.1962993
27,2025-01-27 00:10:00,2025-02-03,2025-02-03 00:10:00,2025-02-04,0.3699106362,0.8575625353,96.86083889,201.2214916
28,2025-01-28 00:10:00,2025-02-04,2025-02-04 00:10:00,2025-02-05,0.3711393834,0.8586218116,125.5461694,239.2271832
29,2025-01-29 00:10:00,2025-02-05,2025-02-05 00:10:00,2025-02-06,0.371496067,0.8592305204,111.6167993,240.0683799
30,2025-01-30 00:10:00,2025-02-06,2025-02-06 00:10:00,2025-02-07,0.3719435283,0.8597873021,85.98351528,170.9961871
31,2025-01-31 00:10:00,2025-02-07,2025-02-07 00:10:00,2025-02-08,0.3729528756,0.8607351773,173.9426326,349.0144626
32,2025-02-01 00:10:00,2025-02-08,2025-02-08 00:10:00,2025-02-09,0.3723248987,0.8601786045,177.7457153,357.5017366
33,2025-02-02 00:10:00,2025-02-09,2025-02-09 00:10:00,2025-02-10,0.3728619867,0.8601774738,157.1497903,341.0756042
34,2025-02-03 00:10:00,2025-02-10,2025-02-10 00:10:00,2025-02-11,0.3728200754,0.8607261827,231.3632236,465.3284467
35,2025-02-04 00:10:00,2025-02-11,2025-02-11 00:10:00,2025-02-12,0.3745722339,0.8621321697,101.8810896,190.2350773
36,2025-02-05 00:10:00,2025-02-12,2025-02-12 00:10:00,2025-02-13,0.3748070052,0.8627143823,89.86344722,169.3171212
37,2025-02-06 00:10:00,2025-02-13,2025-02-13 00:10:00,2025-02-14,0.3752729673,0.8634237402,164.923216,310.5204424
38,2025-02-07 00:10:00,2025-02-14,2025-02-14 00:10:00,2025-02-15,0.3768923991,0.8650911652,195.0854458,416.8219252
39,2025-02-08 00:10:00,2025-02-15,2025-02-15 00:10:00,2025-02-16,0.3776396592,0.8668749292,55.47673681,119.2666768
40,2025-02-09 00:10:00,2025-02-16,2025-02-16 00:10:00,2025-02-17,0.3788116703,0.8679588961,98.10573472,192.2460399
41,2025-02-10 00:10:00,2025-02-17,2025-02-17 00:10:00,2025-02-18,0.3795210944,0.8690555796,181.5177931,362.2233573
42,2025-02-11 00:10:00,2025-02-18,2025-02-18 00:10:00,2025-02-19,0.3816832741,0.8707982447,94.59268056,182.5345406
43,2025-02-12 00:10:00,2025-02-19,2025-02-19 00:10:00,2025-02-20,0.3826692511,0.8722043725,118.5847257,231.8373412
44,2025-02-13 00:10:00,2025-02-20,2025-02-20 00:10:00,2025-02-21,0.3840501279,0.87383423,149.6904528,282.3989166
45,2025-02-14 00:10:00,2025-02-21,2025-02-21 00:10:00,2025-02-22,0.3843589145,0.8746543354,77.07409722,153.2341683
46,2025-02-15 00:10:00,2025-02-22,2025-02-22 00:10:00,2025-02-23,0.3853020697,0.8759254998,118.6657451,218.0284536
