month,count,mae,rmse,bias
1,2940,129.8828641,319.6676247,-14.96575816
2,2688,158.5186482,374.1056002,-30.04151224
3,2976,194.1927447,447.176795,-25.22534388
4,2880,211.7428672,499.2778023,-33.65932337
5,2976,217.536958,494.1337702,-60.39491724
6,2880,201.9526256,432.5384411,-19.25717656
7,2976,215.3618332,469.4327564,-20.37285336
8,2976,221.806023,502.4023704,-64.13260568
9,2880,209.2692269,496.834075,-21.10912885
10,2976,204.2057606,474.0679791,-35.59068253
11,2880,149.3221948,361.8603073,-23.76227295
12,2976,122.9479416,324.5495115,-19.55903552
