origin_index,lookback_days,kernel_size,normalization,training_samples,training_target_max_index,scaler_max_day_index,scaler_mean_kw,scaler_std_kw,best_epoch,train_loss,internal_validation_loss,parameter_count,causal_assertions_passed,origin_date,scaler_max_timestamp,training_target_max_timestamp,target_start_timestamp
17,3,25,raw_kw,14,16,16,0.00000000,1.00000000,9,476148.50000000,491618.65625000,124704,True,2025-01-18,2025-01-18T00:00:00.000000000,2025-01-18T00:00:00.000000000,2025-01-18T00:10:00.000000000
18,3,25,raw_kw,15,17,17,0.00000000,1.00000000,9,477070.43750000,473737.65625000,124704,True,2025-01-19,2025-01-19T00:00:00.000000000,2025-01-19T00:00:00.000000000,2025-01-19T00:10:00.000000000
19,3,25,raw_kw,16,18,18,0.00000000,1.00000000,9,480220.34375000,493400.56250000,124704,True,2025-01-20,2025-01-20T00:00:00.000000000,2025-01-20T00:00:00.000000000,2025-01-20T00:10:00.000000000
20,3,25,raw_kw,17,19,19,0.00000000,1.00000000,9,480943.46875000,489747.71875000,124704,True,2025-01-21,2025-01-21T00:00:00.000000000,2025-01-21T00:00:00.000000000,2025-01-21T00:10:00.000000000
21,3,25,raw_kw,18,20,20,0.00000000,1.00000000,9,486485.93750000,502993.34375000,124704,True,2025-01-22,2025-01-22T00:00:00.000000000,2025-01-22T00:00:00.000000000,2025-01-22T00:10:00.000000000
22,3,25,raw_kw,19,21,21,0.00000000,1.00000000,9,493034.28125000,543910.56250000,124704,True,2025-01-23,2025-01-23T00:00:00.000000000,2025-01-23T00:00:00.000000000,2025-01-23T00:10:00.000000000
23,3,25,raw_kw,20,22,22,0.00000000,1.00000000,9,499776.34375000,580167.25000000,124704,True,2025-01-24,2025-01-24T00:00:00.000000000,2025-01-24T00:00:00.000000000,2025-01-24T00:10:00.000000000
24,3,25,raw_kw,21,23,23,0.00000000,1.00000000,9,502210.06250000,570262.25000000,124704,True,2025-01-25,2025-01-25T00:00:00.000000000,2025-01-25T00:00:00.000000000,2025-01-25T00:10:00.000000000
25,3,25,raw_kw,22,24,24,0.00000000,1.00000000,9,504274.18750000,553099.18750000,124704,True,2025-01-26,2025-01-26T00:00:00.000000000,2025-01-26T00:00:00.000000000,2025-01-26T00:10:00.000000000
26,3,25,raw_kw,23,25,25,0.00000000,1.00000000,9,509587.78125000,585451.75000000,124704,True,2025-01-27,2025-01-27T00:00:00.000000000,2025-01-27T00:00:00.000000000,2025-01-27T00:10:00.000000000
