date,model,model_rmse_kw,seven_day_rmse_kw,rmse_difference_model_minus_7day_kw,model_wins
2025-02-01,DLinear,183.16443907,119.76409334,63.40034573,False
2025-02-02,DLinear,208.60019404,177.50460891,31.09558513,False
2025-02-03,DLinear,250.45042916,146.52044091,103.92998825,False
2025-02-04,DLinear,246.16714075,197.02187096,49.14526979,False
2025-02-05,DLinear,291.13051241,176.24931468,114.88119773,False
2025-02-06,DLinear,235.28954228,115.20857313,120.08096915,False
2025-02-07,DLinear,315.79104015,312.45038885,3.34065131,False
2025-02-08,DLinear,263.58585713,231.31417005,32.27168708,False
2025-02-09,DLinear,313.38930385,200.68029961,112.70900423,False
2025-02-10,DLinear,375.09090375,367.86382576,7.22707799,False
2025-02-11,DLinear,277.69888253,230.96196840,46.73691413,False
2025-02-12,DLinear,257.94399435,220.42664055,37.51735380,False
2025-02-13,DLinear,467.03038343,399.02386744,68.00651599,False
2025-02-14,DLinear,316.70564902,208.21040215,108.49524687,False
2025-02-15,DLinear,268.68306901,158.52980497,110.15326404,False
2025-02-16,DLinear,337.31018840,205.95852699,131.35166142,False
2025-02-17,DLinear,368.58903482,225.21119996,143.37783486,False
2025-02-18,DLinear,332.95831560,190.15489976,142.80341584,False
2025-02-19,DLinear,305.06468181,215.90623221,89.15844960,False
2025-02-20,DLinear,390.09682061,201.29304879,188.80377182,False
2025-02-21,DLinear,341.44323216,164.92613549,176.51709666,False
2025-02-22,DLinear,306.35827520,131.84323270,174.51504250,False
2025-02-23,DLinear,392.28468901,196.92805245,195.35663656,False
2025-02-24,DLinear,426.36713780,242.70068481,183.66645299,False
2025-02-25,DLinear,535.87990509,403.19226991,132.68763518,False
2025-02-26,DLinear,413.38036745,211.48351003,201.89685742,False
2025-02-27,DLinear,435.92830425,291.71884648,144.20945777,False
2025-02-28,DLinear,407.75495952,201.58792349,206.16703603,False
2025-03-01,DLinear,429.74819062,352.24872022,77.49947041,False
2025-03-02,DLinear,636.02570948,570.63664073,65.38906875,False
2025-03-03,DLinear,455.00844266,413.68740792,41.32103474,False
2025-03-04,DLinear,414.59282564,223.51803877,191.07478688,False
2025-03-05,DLinear,479.24034532,231.74642096,247.49392436,False
2025-03-06,DLinear,457.59520010,189.70110172,267.89409838,False
2025-03-07,DLinear,436.35998739,225.07149008,211.28849730,False
2025-03-08,DLinear,520.66081628,288.95901035,231.70180593,False
2025-03-09,DLinear,565.81965180,383.76673123,182.05292057,False
2025-03-10,DLinear,460.71832715,278.49340630,182.22492085,False
2025-03-11,DLinear,504.26820034,258.91919409,245.34900625,False
2025-03-12,DLinear,538.79099670,270.94654608,267.84445062,False
2025-03-13,DLinear,590.16620339,391.70174047,198.46446293,False
2025-03-14,DLinear,571.30721361,312.47847821,258.82873540,False
2025-03-15,DLinear,590.94482539,324.03027527,266.91455012,False
2025-03-16,DLinear,528.77034979,284.10059425,244.66975554,False
2025-03-17,DLinear,768.52641450,472.48451116,296.04190334,False
