phase_weight,second_weight,count,mae_kw,rmse_kw,bias_kw
0.00000000,1.00000000,2016,872.67210713,1397.55093722,-59.86119547
0.05000000,0.95000000,2016,831.11046840,1331.08024154,-58.97000883
0.10000000,0.90000000,2016,789.68394616,1264.72271598,-58.07882219
0.15000000,0.85000000,2016,748.31615297,1198.49715844,-57.18763555
0.20000000,0.80000000,2016,707.05728111,1132.42672206,-56.29644891
0.25000000,0.75000000,2016,665.88755168,1066.54023575,-55.40526227
0.30000000,0.70000000,2016,624.79948337,1000.87402789,-54.51407563
0.35000000,0.65000000,2016,584.05701443,935.47448736,-53.62288900
0.40000000,0.60000000,2016,543.44788355,870.40172616,-52.73170236
0.45000000,0.55000000,2016,503.12197563,805.73492221,-51.84051572
0.50000000,0.50000000,2016,463.03055079,741.58028319,-50.94932908
0.55000000,0.45000000,2016,423.20143605,678.08319516,-50.05814244
0.60000000,0.40000000,2016,383.73411269,615.44721485,-49.16695580
0.65000000,0.35000000,2016,344.70549902,553.96451201,-48.27576916
0.70000000,0.30000000,2016,306.07454866,494.06582401,-47.38458252
0.75000000,0.25000000,2016,268.06730921,436.40388165,-46.49339588
0.80000000,0.20000000,2016,231.28438541,381.99294361,-45.60220924
0.85000000,0.15000000,2016,196.26492234,332.43318366,-44.71102260
0.90000000,0.10000000,2016,164.07690521,290.22058130,-43.81983596
0.95000000,0.05000000,2016,136.91238771,258.97316773,-42.92864933
1.00000000,0.00000000,2016,116.04456320,242.95919202,-42.03746269
