date,variable,model,count,mae_kw,rmse_kw,bias_kw
2025-02-01,load,Yesterday,144,209.97981250,252.17041552,154.36307083
2025-02-01,load,Last Week,144,209.45260972,248.57118545,180.28575000
2025-02-01,load,Ridge phase-aware,144,197.94451483,236.13505115,164.27966711
2025-02-02,load,Yesterday,144,1891.69859861,2085.53631416,-1891.69859861
2025-02-02,load,Last Week,144,216.42944583,254.56814116,194.96150000
2025-02-02,load,Ridge phase-aware,144,193.76583470,235.63355758,168.35699943
2025-02-03,load,Yesterday,144,136.79985486,166.33477795,-37.40818125
2025-02-03,load,Last Week,144,163.32805139,206.88759766,126.63255139
2025-02-03,load,Ridge phase-aware,144,149.25190874,189.84774803,104.49155431
2025-02-04,load,Yesterday,144,140.99187014,172.27258242,42.73625625
2025-02-04,load,Last Week,144,238.82189653,280.67791235,204.93800347
2025-02-04,load,Ridge phase-aware,144,226.33986017,265.70941906,191.32971314
2025-02-05,load,Yesterday,144,118.20001319,158.57349024,-17.20773264
2025-02-05,load,Last Week,144,180.55471944,230.09485807,143.09835139
2025-02-05,load,Ridge phase-aware,144,162.75407170,207.77760865,118.52183286
2025-02-06,load,Yesterday,144,133.60575972,177.82380737,-10.87826111
2025-02-06,load,Last Week,144,185.48680347,224.85748647,156.62030208
2025-02-06,load,Ridge phase-aware,144,169.52408639,207.32292849,133.55609754
2025-02-07,load,Yesterday,144,1920.14857361,2114.86048053,1920.14857361
2025-02-07,load,Last Week,144,196.69926458,240.05247959,160.05512708
2025-02-07,load,Ridge phase-aware,144,189.43276859,232.42039756,135.54998180
2025-02-08,load,Yesterday,144,146.05727847,187.56507188,17.57539236
2025-02-08,load,Last Week,144,136.94161806,168.39401547,23.26744861
2025-02-08,load,Ridge phase-aware,144,130.01303302,159.62590874,14.69557490
2025-02-09,load,Yesterday,144,1908.37983542,2092.76075252,-1908.37983542
2025-02-09,load,Last Week,144,109.14504097,134.53702712,6.58621181
2025-02-09,load,Ridge phase-aware,144,113.80888648,141.17350838,-4.41381332
2025-02-10,load,Yesterday,144,124.53086181,161.73041306,2.93079375
2025-02-10,load,Last Week,144,144.70191181,175.96512123,46.92518681
2025-02-10,load,Ridge phase-aware,144,134.57073267,166.47147987,35.35025833
2025-02-11,load,Yesterday,144,118.16519583,145.27299912,1.51178750
2025-02-11,load,Last Week,144,116.34601806,147.51234669,5.70071806
2025-02-11,load,Ridge phase-aware,144,112.23793475,143.06241195,7.36091683
2025-02-12,load,Yesterday,144,105.78138194,131.65519647,3.22619722
2025-02-12,load,Last Week,144,125.48627708,158.03281147,26.13464792
2025-02-12,load,Ridge phase-aware,144,121.30058839,151.57961802,13.58604253
2025-02-13,load,Yesterday,144,123.62281944,160.75493374,2.23204861
2025-02-13,load,Last Week,144,146.03546875,177.91039519,39.24495764
2025-02-13,load,Ridge phase-aware,144,132.50592310,163.06472484,28.34060780
2025-02-14,load,Yesterday,144,1894.46260139,2067.70298959,1893.23524028
2025-02-14,load,Last Week,144,125.65687153,161.94070861,12.33162431
2025-02-14,load,Ridge phase-aware,144,131.07022350,163.04015011,-0.38006259
2025-02-15,load,Yesterday,144,134.55764583,173.67411794,-7.57976250
2025-02-15,load,Last Week,144,136.77212778,170.82670686,-12.82353056
2025-02-15,load,Ridge phase-aware,144,133.93318792,166.84726973,-20.01558338
2025-02-16,load,Yesterday,144,1884.26770972,2070.89229035,-1884.26770972
2025-02-16,load,Last Week,144,128.69866042,155.76556203,11.28859514
2025-02-16,load,Ridge phase-aware,144,129.28890763,160.00764772,1.50294683
2025-02-17,load,Yesterday,144,116.52323194,152.30542871,13.19185278
2025-02-17,load,Last Week,144,125.40665694,160.82471394,21.54965417
2025-02-17,load,Ridge phase-aware,144,123.40651077,156.08960677,13.44332093
2025-02-18,load,Yesterday,144,132.10909375,171.22991598,-15.45410069
2025-02-18,load,Last Week,144,124.39304097,157.38057330,4.58376597
2025-02-18,load,Ridge phase-aware,144,122.68297288,156.49161030,5.64643174
2025-02-19,load,Yesterday,144,132.51032569,175.50374418,-22.31345347
2025-02-19,load,Last Week,144,120.18850000,155.11407675,-20.95588472
2025-02-19,load,Ridge phase-aware,144,119.81899616,154.04794302,-31.48666949
2025-02-20,load,Yesterday,144,154.07094236,203.90065651,31.73071181
2025-02-20,load,Last Week,144,127.76803819,156.38178065,8.54277847
2025-02-20,load,Ridge phase-aware,144,126.44696993,155.62569217,2.07423327
2025-02-21,load,Yesterday,144,1889.30062500,2079.93104846,1887.63562500
2025-02-21,load,Last Week,144,142.00027986,171.22982970,2.94316319
2025-02-21,load,Ridge phase-aware,144,146.33730800,177.42218353,-9.13857511
2025-02-22,load,Yesterday,144,139.57425139,180.24840696,4.98999028
2025-02-22,load,Last Week,144,129.12408125,159.64518529,15.51291597
2025-02-22,load,Ridge phase-aware,144,127.55611843,155.94261312,7.06858737
2025-02-23,load,Yesterday,144,1895.71619444,2084.38657254,-1894.16244444
2025-02-23,load,Last Week,144,128.16946319,157.48183598,5.61818125
2025-02-23,load,Ridge phase-aware,144,129.13803087,164.54862038,-3.97924920
2025-02-24,load,Yesterday,144,134.51388125,168.74063822,21.38134931
2025-02-24,load,Last Week,144,125.53387361,149.12479032,13.80767778
2025-02-24,load,Ridge phase-aware,144,127.58457082,151.01899728,7.27232360
2025-02-25,load,Yesterday,144,132.04201250,165.18036559,-19.34768056
2025-02-25,load,Last Week,144,128.16446042,165.60588764,9.91409792
2025-02-25,load,Ridge phase-aware,144,120.71197186,157.64655920,10.67403697
2025-02-26,load,Yesterday,144,125.14937500,163.35474824,1.35828194
2025-02-26,load,Last Week,144,141.09937222,176.19594660,33.58583333
2025-02-26,load,Ridge phase-aware,144,133.86426506,169.41585302,20.75085827
2025-02-27,load,Yesterday,144,142.54808819,195.39845768,19.21854931
2025-02-27,load,Last Week,144,119.92690972,150.93492354,21.07367083
2025-02-27,load,Ridge phase-aware,144,120.29356947,149.33352510,13.64441899
2025-02-28,load,Yesterday,144,1887.18892986,2081.51334424,1883.93254097
2025-02-28,load,Last Week,144,127.93034792,157.73984033,17.37058681
2025-02-28,load,Ridge phase-aware,144,129.76876929,158.70402918,4.47802137
2025-03-01,load,Yesterday,144,202.49411944,255.97328422,130.87282500
2025-03-01,load,Last Week,144,208.59252292,262.82675696,143.25342153
2025-03-01,load,Ridge phase-aware,144,205.54790610,259.68292559,135.26707294
2025-03-02,load,Yesterday,144,1900.67737222,2080.73654503,-1900.67737222
2025-03-02,load,Last Week,144,195.86099931,254.12020085,136.73849375
2025-03-02,load,Ridge phase-aware,144,189.36606623,243.89485835,120.39090388
2025-03-03,load,Yesterday,144,132.52031181,165.24794079,-4.09702153
2025-03-03,load,Last Week,144,189.12511042,231.96703938,111.26012292
2025-03-03,load,Ridge phase-aware,144,181.25930630,222.77453837,99.00841539
2025-03-04,load,Yesterday,144,117.48553958,144.45920294,-7.51164097
2025-03-04,load,Last Week,144,186.71320417,238.19468788,123.09616250
2025-03-04,load,Ridge phase-aware,144,181.05127309,230.18382859,119.09119624
2025-03-05,load,Yesterday,144,114.30003403,141.98864302,2.73254792
2025-03-05,load,Last Week,144,191.38035069,235.60363445,124.47042847
2025-03-05,load,Ridge phase-aware,144,183.44832837,221.99662165,108.31018890
2025-03-06,load,Yesterday,144,137.24577292,184.20368785,16.66022014
2025-03-06,load,Last Week,144,195.43109236,241.81333013,121.91209931
2025-03-06,load,Ridge phase-aware,144,187.44336362,230.22452648,110.01132773
2025-03-07,load,Yesterday,144,1916.38487917,2095.01818855,1916.38487917
2025-03-07,load,Last Week,144,216.30944722,272.63636561,154.36443750
2025-03-07,load,Ridge phase-aware,144,213.13597465,269.32985946,136.81083075
2025-03-08,load,Yesterday,144,113.55486111,153.17241493,-27.68125556
2025-03-08,load,Last Week,144,118.11465278,143.34875036,-4.18964306
2025-03-08,load,Ridge phase-aware,144,111.90328883,138.09332678,-7.64161822
2025-03-09,load,Yesterday,144,1889.51145486,2079.20043573,-1889.51145486
2025-03-09,load,Last Week,144,128.34401875,156.17004590,6.97627431
2025-03-09,load,Ridge phase-aware,144,128.77570602,161.69382050,2.60865693
2025-03-10,load,Yesterday,144,137.25413194,169.68094830,-10.41991111
2025-03-10,load,Last Week,144,143.84330694,179.25295140,0.65338472
2025-03-10,load,Ridge phase-aware,144,137.32823288,171.49230035,-2.37498043
2025-03-11,load,Yesterday,144,129.27545208,157.82349899,18.47964236
2025-03-11,load,Last Week,144,130.15822500,159.29889670,26.64466806
2025-03-11,load,Ridge phase-aware,144,128.14441670,157.94543081,33.20099326
2025-03-12,load,Yesterday,144,126.40298403,157.51263529,-25.52849514
2025-03-12,load,Last Week,144,123.71012917,153.49429253,-1.61637500
2025-03-12,load,Ridge phase-aware,144,119.35948657,147.33145021,-8.40949608
2025-03-13,load,Yesterday,144,125.04814792,172.63004418,-5.21000903
2025-03-13,load,Last Week,144,125.26286806,156.71626072,-23.48660417
2025-03-13,load,Ridge phase-aware,144,122.05879739,154.25703620,-24.81337759
2025-03-14,load,Yesterday,144,1922.01700417,2096.58253139,1922.01700417
2025-03-14,load,Last Week,144,129.65256528,157.57180009,-17.85447917
2025-03-14,load,Ridge phase-aware,144,127.46700417,154.29882808,-20.93672015
2025-03-15,load,Yesterday,144,154.06349583,199.05912118,-25.67136806
2025-03-15,load,Last Week,144,105.97413194,133.53426859,-15.84459167
2025-03-15,load,Ridge phase-aware,144,111.77780069,139.81954649,-18.75557362
2025-03-16,load,Yesterday,144,1885.75975833,2079.78918111,-1885.75975833
2025-03-16,load,Last Week,144,124.46092847,157.51260228,-12.09289514
2025-03-16,load,Ridge phase-aware,144,123.24752473,160.59395865,-15.06001418
2025-03-17,load,Yesterday,144,121.30003542,151.38416489,12.06642431
2025-03-17,load,Last Week,144,140.58847639,178.68520910,10.39344028
2025-03-17,load,Ridge phase-aware,144,137.58382557,174.13410196,8.03194855
2025-03-18,load,Yesterday,144,117.70840347,156.41273615,18.34159236
2025-03-18,load,Last Week,144,123.99301528,155.43563469,10.25539028
2025-03-18,load,Ridge phase-aware,144,123.62512006,152.85468468,18.58006718
2025-03-19,load,Yesterday,144,120.26151736,153.17520671,-1.17226736
2025-03-19,load,Last Week,144,123.90326111,153.28550193,34.61161806
2025-03-19,load,Ridge phase-aware,144,124.23293594,151.92959226,27.16152987
2025-03-20,load,Yesterday,144,127.49016944,174.82901541,-15.28432222
2025-03-20,load,Last Week,144,129.55489236,157.66520133,24.53730486
2025-03-20,load,Ridge phase-aware,144,128.65166266,154.43442487,19.44141472
2025-03-21,load,Yesterday,144,1877.97414653,2068.03192773,1877.28539653
2025-03-21,load,Last Week,144,123.55918750,157.11868133,-20.19430278
2025-03-21,load,Ridge phase-aware,144,134.71578707,170.17967443,-26.05222104
2025-03-22,load,Yesterday,144,131.92408125,182.69411828,27.35844514
2025-03-22,load,Last Week,144,112.56750347,138.20193861,32.83551042
2025-03-22,load,Ridge phase-aware,144,105.68465063,128.83068630,29.58058840
2025-03-23,load,Yesterday,144,1909.77796111,2091.90382333,-1908.46032222
2025-03-23,load,Last Week,144,118.00314375,146.61171451,10.13494653
2025-03-23,load,Ridge phase-aware,144,123.54888099,152.00951662,4.46899746
2025-03-24,load,Yesterday,144,117.92056181,144.22109601,13.11694375
